Date,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
1993-01-01,24.175384521484375,,,,,,,,,
1993-02-01,24.433305740356445,,,,,,,,,
1993-03-01,24.8631534576416,,,,,,,,,
1993-04-01,24.341379165649414,,,,,,,,,
1993-05-01,24.99785804748535,,,,,,,,,
1993-06-01,24.91148567199707,,,,,,,,,
1993-07-01,24.96626091003418,,,,,,,,,
1993-08-01,25.923145294189453,,,,,,,,,
1993-09-01,25.57518768310547,,,,,,,,,
1993-10-01,26.242210388183594,,,,,,,,,
1993-11-01,25.962114334106445,,,,,,,,,
1993-12-01,26.102161407470703,,,,,,,,,
1994-01-01,27.197416305541992,,,,,,,,,
1994-02-01,26.404245376586914,,,,,,,,,
1994-03-01,25.152759552001953,,,,,,,,,
1994-04-01,25.58149528503418,,,,,,,,,
1994-05-01,25.989261627197266,,,,,,,,,
1994-06-01,25.226947784423828,,,,,,,,,
1994-07-01,26.214628219604492,,,,,,,,,
1994-08-01,27.21393585205078,,,,,,,,,
1994-09-01,26.366287231445312,,,,,,,,,
1994-10-01,27.280712127685547,,,,,,,,,
1994-11-01,26.194530487060547,,,,,,,,,
1994-12-01,26.17658042907715,,,,,,,,,
1995-01-01,27.27201271057129,,,,,,,,,
1995-02-01,28.384973526000977,,,,,,,,,
1995-03-01,29.018369674682617,,,,,,,,,
1995-04-01,30.039697647094727,,,,,,,,,
1995-05-01,31.23146629333496,,,,,,,,,
1995-06-01,31.677227020263672,,,,,,,,,
1995-07-01,32.88814163208008,,,,,,,,,
1995-08-01,33.03456497192383,,,,,,,,,
1995-09-01,34.25163269042969,,,,,,,,,
1995-10-01,34.3332633972168,,,,,,,,,
1995-11-01,35.86040115356445,,,,,,,,,
1995-12-01,36.20079803466797,,,,,,,,,
1996-01-01,37.720516204833984,,,,,,,,,
1996-02-01,37.84086990356445,,,,,,,,,
1996-03-01,38.32217025756836,,,,,,,,,
1996-04-01,38.91078567504883,,,,,,,,,
1996-05-01,39.794071197509766,,,,,,,,,
1996-06-01,39.93354415893555,,,,,,,,,
1996-07-01,38.3411865234375,,,,,,,,,
1996-08-01,39.079593658447266,,,,,,,,,
1996-09-01,41.05178451538086,,,,,,,,,
1996-10-01,42.59714889526367,,,,,,,,,
1996-11-01,45.7068977355957,,,,,,,,,
1996-12-01,44.401004791259766,,,,,,,,,
1997-01-01,47.37604904174805,,,,,,,,,
1997-02-01,47.82921600341797,,,,,,,,,
1997-03-01,45.54441833496094,,,,,,,,,
1997-04-01,48.58102035522461,,,,,,,,,
1997-05-01,51.65167999267578,,,,,,,,,
1997-06-01,53.566123962402344,,,,,,,,,
1997-07-01,58.037113189697266,,,,,,,,,
1997-08-01,55.030601501464844,,,,,,,,,
1997-09-01,57.46626663208008,,,,,,,,,
1997-10-01,56.263771057128906,,,,,,,,,
1997-11-01,58.44095993041992,,,,,,,,,
1997-12-01,59.31950378417969,,,,,,,,,
1998-01-01,60.3224983215332,,,,,,,,,
1998-02-01,64.50251770019531,,,,,,,,,
1998-03-01,67.45539093017578,,,,,,,,,
1998-04-01,68.51453399658203,,,,,,,,,
1998-05-01,67.09156036376953,,,,,,,,,
1998-06-01,69.72594451904297,,,,,,,,,
1998-07-01,69.00260925292969,,,,,,,,,
1998-08-01,59.260807037353516,,,,,,,,,
1998-09-01,62.810298919677734,,,,,,,,,
1998-10-01,68.14288330078125,,,,,,,,,
1998-11-01,71.93718719482422,,,,,,,,,
1998-12-01,76.38970947265625,6.018318176269531,5.755892753601074,11.223318099975586,15.226346015930176,12.13840103149414,14.332374572753906,5.911739826202393,17.439668655395508,9.621116638183594
