sasdate,PC1,PC2,PC3,PC4,PC5,PC6,regime,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3,regime_prob_4,regime_prob_5
1959-03-01,0.26861570608834223,-0.043235525660572906,0.12375240742375483,-0.48360402170799743,-0.21609471562659552,-0.012900291653293795,1,0.6837606837606838,0.2139997146028194,0.05255025855106748,0.028652496367088092,0.011372941278858349,0.009663905439482735
1959-04-01,0.2206965678506952,-0.08474901382410863,0.11211776635583587,-0.5039021992828322,-0.23481199329110722,-0.023704718327302643,1,0.6396470912599946,0.25751495110174627,0.05278437792669036,0.02945976044665006,0.01109540818522949,0.009498411079689184
1959-05-01,0.09795016607981477,-0.15959758412895936,0.06909978058345725,-0.43779488940482414,-0.1592531586741549,-0.008803681455358344,1,0.0303280948442238,0.8548089077354469,0.06852507769858161,0.027176849219811804,0.010446104725804584,0.008714965776131296
1959-06-01,0.04666344348060545,-0.17559216465192282,0.057091280839893066,-0.3247623871171486,-0.1573591327564605,-0.03762051434502365,1,0.0,0.9760174982583435,0.015262691086647913,0.005449532656630394,0.0017280771762899336,0.001542200822088252
1959-07-01,-0.10440940855440324,-0.05163640901945118,-0.057679388295021596,-0.06568078994219345,-0.04399294863643422,-0.12152245586463681,2,0.2453818582850841,0.19544010319348334,0.42294796432007703,0.08238823067938755,0.02554376482639532,0.028298078695572635
1959-08-01,-0.614203878181623,0.6122063376146463,-0.3071254868176809,1.337860958093406,0.7753619014474973,-0.5113198972321236,0,1.0,0.0,0.0,0.0,0.0,0.0
1959-09-01,-0.03313164233107015,-0.16263582308352623,-0.025511433216364763,-0.233630119327793,0.0654221796362532,-0.06362841353447969,2,0.0,0.3481883947899429,0.5640427868160672,0.043037010162976744,0.025427959424624086,0.019303848806389006
1959-10-01,-0.0695420344803887,-0.11768588348073232,-0.08737066072837765,0.09781498005469151,0.021263971171901635,-0.025398590099655494,2,0.044113592500689205,0.12992117548154464,0.6420072441705313,0.09638520977355908,0.03886783920204014,0.0487049388716355
1959-11-01,-0.025821702466865756,-0.1309095256393913,0.004801604869615805,-0.2561030788370708,-0.11355993310946709,0.04226104567589805,1,0.0,0.8062370479584247,0.14321183977652813,0.030666996437300233,0.01042721610794674,0.009456899719800302
1959-12-01,2.2422778510740526,0.9218956184496729,0.2012373531545451,-1.0811488370937044,-0.49312127825801655,0.023163530169737854,0,1.0,0.0,0.0,0.0,0.0,0.0
1960-01-01,0.28987614555260466,-0.020781476472245194,0.02134355822749428,-0.42675028837763396,-0.1149555496288721,0.01941547858468567,1,0.6065618968844776,0.26114735402052447,0.07549433030632242,0.03076766642908737,0.014404873668871986,0.0116238786907161
1960-02-01,-0.017091550858196608,-0.1474064591401828,0.002438521761281405,-0.11919574520038317,-0.19057280024818452,-0.045596994840887126,1,0.0,0.5842351459049315,0.2544482905816029,0.11719088038625657,0.02086786395106331,0.02325781917614566
1960-03-01,-0.3340396288902313,0.3106570672086301,-0.28658300174626866,1.3843557647673919,0.01263751900423611,0.014316102887044744,5,0.962227736421285,0.0030586933055476197,0.004186475120106954,0.0052294284125774994,0.0045007146623279965,0.020796952078154924
1960-04-01,0.13328825498213093,-0.10722542452862731,0.18359373348156088,-0.2518445737536715,-0.22331030721419545,-0.07171173437110562,1,0.7306313757926663,0.19828927421048637,0.03821791604239762,0.021738765738034713,0.005638241385793547,0.005484426830621419
1960-05-01,-0.08586681849524717,-0.09720106264553573,-0.09782670225954983,0.12527340733715928,0.15597784685841323,-9.715838583437021e-05,2,0.25916735594154955,0.07745760282788273,0.513937066222815,0.05344438555126012,0.046754885895751004,0.04923870356074172
1960-06-01,-0.19793553152844998,0.0984666502010189,-0.18146070445086165,0.8171429060231042,0.04559394960564423,-0.01890762139633121,5,0.8409153570443894,0.004378064139947981,0.007304037560699574,0.008511831119274131,0.006055089322349528,0.13283562081333944
1960-07-01,-0.12232617923214717,-0.020475066353207616,-0.09665873011322063,0.3691938393151304,0.08782918259095937,-0.035853025358687805,2,0.6010476978218914,0.04680219025771202,0.12507517792878195,0.06775674928490422,0.0422830640826793,0.11703512062403112
1960-08-01,-0.06608925292841326,-0.11413688466201076,-0.08148665776930468,0.1465634106652917,-0.003634391979304939,-0.049685966904576745,2,0.0661703887510338,0.1464604949769133,0.5273062376861377,0.14327005456662667,0.04797174857008404,0.06882107544920449
1960-09-01,-0.08255587818638398,-0.08546203468552069,-0.08255267022260476,0.1780328336748198,0.3531746293713751,0.0004645232996117786,2,0.4025365315687898,0.06602980204149012,0.2820795503865613,0.045803344540826664,0.12369356173702824,0.07985720972530401
1960-10-01,-0.07460855399874104,-0.10483127888562428,-0.11504088120653592,0.3340337169246222,0.4526104708094828,0.01867769915195345,4,0.6810035842293907,0.027465159871708725,0.07912580541783727,0.023430634547898812,0.11478054404843722,0.07419427188472727
1960-11-01,-0.2268181738991027,0.14880912263831922,-0.14058433605841303,0.40395733811297896,0.3641848366067564,-0.16516218211085773,5,0.8519437551695618,0.012101171064600567,0.027444290171069946,0.013390230540765729,0.0292042968348477,0.06591625621915428
1960-12-01,-0.5088688442329954,0.5430698057123621,-0.21751291443601184,0.7879601025400367,1.0282985352258198,-0.1218572227952263,0,1.0,0.0,0.0,0.0,0.0,0.0
1961-01-01,-0.035999174265884275,-0.12644865745580952,-0.06618211670290818,0.1369968174612106,0.38172660285119814,0.03685954427076586,2,0.33360904328646274,0.07480275828490819,0.3303714902108454,0.04563922897685051,0.14453633748262495,0.0710411417583083
1961-02-01,-0.10168843877272161,-0.05506127572012067,-0.08753478728757508,0.1877381298107999,0.4309365834324033,-0.05746943649794109,2,0.5210918114143922,0.050120802226274845,0.1740402103776054,0.03570437107959753,0.14492155810750984,0.07412124679462016
1961-03-01,0.08532956362005888,-0.12885551740060233,0.029428937778114395,-0.23909285360545335,0.08162553197051274,0.019798819925817755,2,0.0,0.3962993731201157,0.5170381309588533,0.04012074126385744,0.027297062734776594,0.019244691922396875
1961-04-01,0.06692321477497645,-0.14296592131881203,-0.018587412474692217,-0.1725653656850022,0.2546351096502861,0.07336293063243554,2,0.06341328921974082,0.14753809573912474,0.6777648684288808,0.03592047896936421,0.04918806965851665,0.02617519798437273
1961-05-01,0.197061914202856,-0.07600084715295133,0.08850739895119933,-0.347741418758434,-0.03924445235740588,0.0026037534719670612,1,0.4218362282878412,0.4202375849348856,0.10543082433088787,0.027599360330441067,0.014053517762065856,0.010842484353878499
1961-06-01,0.17479864898513267,-0.10004714649692606,0.18815901609553765,-0.4204700489747112,-0.06183603465534946,0.02794496988009982,1,0.7168458781362009,0.1986440482376052,0.05208900750310502,0.016841290653198653,0.008868627430953333,0.006711148038936899
1961-07-01,0.05061411414496596,-0.15310214816216955,-0.0093799961059469,-0.22830860027255404,0.11368530860908158,0.03985869092119758,2,0.0,0.2730619606655183,0.6467364712986754,0.0351148033006384,0.026882764096494892,0.018204000638672963
