sasdate,PC1,PC2,PC3,PC4,PC5,PC6
1959-03-01,0.26861570608834223,-0.043235525660572906,0.12375240742375483,-0.48360402170799743,-0.21609471562659552,-0.012900291653293795
1959-04-01,0.2206965678506952,-0.08474901382410863,0.11211776635583587,-0.5039021992828322,-0.23481199329110722,-0.023704718327302643
1959-05-01,0.09795016607981477,-0.15959758412895936,0.06909978058345725,-0.43779488940482414,-0.1592531586741549,-0.008803681455358344
1959-06-01,0.04666344348060545,-0.17559216465192282,0.057091280839893066,-0.3247623871171486,-0.1573591327564605,-0.03762051434502365
1959-07-01,-0.10440940855440324,-0.05163640901945118,-0.057679388295021596,-0.06568078994219345,-0.04399294863643422,-0.12152245586463681
1959-08-01,-0.614203878181623,0.6122063376146463,-0.3071254868176809,1.337860958093406,0.7753619014474973,-0.5113198972321236
1959-09-01,-0.03313164233107015,-0.16263582308352623,-0.025511433216364763,-0.233630119327793,0.0654221796362532,-0.06362841353447969
1959-10-01,-0.0695420344803887,-0.11768588348073232,-0.08737066072837765,0.09781498005469151,0.021263971171901635,-0.025398590099655494
1959-11-01,-0.025821702466865756,-0.1309095256393913,0.004801604869615805,-0.2561030788370708,-0.11355993310946709,0.04226104567589805
1959-12-01,2.2422778510740526,0.9218956184496729,0.2012373531545451,-1.0811488370937044,-0.49312127825801655,0.023163530169737854
1960-01-01,0.28987614555260466,-0.020781476472245194,0.02134355822749428,-0.42675028837763396,-0.1149555496288721,0.01941547858468567
1960-02-01,-0.017091550858196608,-0.1474064591401828,0.002438521761281405,-0.11919574520038317,-0.19057280024818452,-0.045596994840887126
1960-03-01,-0.3340396288902313,0.3106570672086301,-0.28658300174626866,1.3843557647673919,0.01263751900423611,0.014316102887044744
1960-04-01,0.13328825498213093,-0.10722542452862731,0.18359373348156088,-0.2518445737536715,-0.22331030721419545,-0.07171173437110562
1960-05-01,-0.08586681849524717,-0.09720106264553573,-0.09782670225954983,0.12527340733715928,0.15597784685841323,-9.715838583437021e-05
