sasdate,PC1,PC2,PC3,PC4,PC5,PC6
1959-03-01,0.797179936569427,-0.03461262624759375,0.15403626864273293,-0.08947787918748143,-0.05405591961391644,0.09214692648830639
1959-04-01,0.8408249053594878,-0.060025902793670746,0.12039230781355868,-0.14561097988469518,0.07309928211133686,0.24566310632810556
1959-05-01,0.5852496134763906,-0.11047080149319899,0.13035947076937934,-0.16268701496468682,0.011467130264689138,0.13700419831716423
1959-06-01,0.22720948098427937,-0.18416033354477732,0.03757824320230561,0.0782035116253175,-0.01207266286288402,0.1789974846487206
1959-07-01,-0.27717697912695927,-0.05951726152133452,0.05303298850967583,0.24461186858771683,-0.0008280626066042139,0.11312969687900468
1959-08-01,-1.0656506476088525,0.5816505073142182,-0.2523320817618903,0.5409062123748425,0.24037110602929956,0.2030797065340178
1959-09-01,-0.020730053568426006,-0.12647992369730707,-0.1328561739854015,0.0671804506573103,-0.004300845266894553,0.4473498210030561
1959-10-01,-0.4094341021393461,0.016527471699717407,0.11406817852794222,0.15710554771577961,-0.004330752919475267,-0.11126856915410331
1959-11-01,-0.02529022406434024,-0.11882993140217994,0.22704178081977688,0.03930296241248006,0.00533162382622837,0.12671776401161577
1959-12-01,1.941778707978996,1.1104033674968579,0.05002378857273524,-0.41865618259503695,0.5051420521286378,0.22908762885960762
1960-01-01,0.7438357559436465,0.11994880559164137,0.15267521722791524,-0.5212169084961759,0.21205291344596433,-0.17983641381448315
1960-02-01,0.03378485389523329,-0.1437938738308843,-0.02457629407229895,0.17336642127778876,-0.0734200731657755,0.12091618109093036
1960-03-01,-0.9655084734714621,0.4595739220262252,-0.11590813376344992,0.3407270204446146,0.08324600698412397,-0.1734149521398335
1960-04-01,0.41174695647852844,-0.005782176258892215,-0.11594978734884917,0.34446841102198633,-0.32207085031363325,0.030409736252912628
1960-05-01,-0.5874473753020697,0.14206770266330396,0.07059057408805547,-0.058356613184958134,-0.06161192033996829,-0.09301191284609107
1960-06-01,-0.8235205498440186,0.29123384693505944,-0.23077501206982676,0.15942981613606966,0.036009824939871926,-0.30147080985566915
1960-07-01,-0.5135405461268235,0.13208876257575702,-0.12845205718573627,0.10864190726538711,0.023215546797517927,-0.09622404438964052
1960-08-01,-0.3198799962508594,-0.030063712344170185,-0.14327644988428834,0.13643991142713524,0.0414272276578013,-0.0997891358106628
1960-09-01,-0.426343386842948,0.08622272357001924,-0.1050235514455246,-0.09328986875816893,-0.07971743863667284,-0.0692008052493199
1960-10-01,-0.5439336264025517,0.16786749948527824,-0.3442603582809634,-0.09118369238650624,0.039894072958209716,0.10339172718918664
1960-11-01,-0.8475648515827242,0.2840485451636565,-0.2519412512783236,0.07501415988984335,0.0042868851273643455,-0.094900677037511
1960-12-01,-1.1535282588233664,0.6297279549927806,-0.370380510027352,-0.058107031471905594,0.03195844039759638,0.12211255353061364
1961-01-01,-0.35351345463862194,0.07688700902362115,-0.1172187997406919,-0.4398241567025404,-0.12910846741268334,-0.12225247897736555
1961-02-01,-0.4276207134533323,0.045961906069643434,-0.335327808309946,-0.12748991996397252,0.025490967223279665,-0.05199198633944871
1961-03-01,0.17911808911933658,0.02379198978716013,0.010728396997999462,-0.36846330121982507,-0.05231845522795656,-0.1390683910193483
1961-04-01,0.09312824803307813,0.020402393757275553,0.02140852103593377,-0.7145776779916038,0.08545519545636987,-0.14710645901631253
1961-05-01,0.5283135540573064,0.06845421075520608,-0.10999708083158401,-0.3595758723501006,0.14691025990920833,0.009944313831677173
1961-06-01,0.560362345457562,0.0022451805739019024,0.09224012409269185,-0.34960662352952593,-0.14204393025397044,0.09486992018082702
1961-07-01,0.17687490391078062,-0.05031905528344723,-0.08109914043646599,-0.38872170412299956,-0.010249865164252142,0.19422852259927262
1961-08-01,0.5221867006941231,-0.12362564156004162,0.14987477761964024,-0.3124580875976766,-0.04493147331320442,0.0598417341366885
1961-09-01,-0.2164988097318749,-0.044846505599498036,0.03105866446635588,-0.0921013922242245,-0.039631490434580245,0.21797316838814348
1961-10-01,0.628580573523359,0.0005962110379839587,0.13690377706893858,-0.39764011830699847,0.06117099654819944,-0.03730293838043191
1961-11-01,0.7134721318151451,0.03134066008136809,0.062473931801638516,-0.250855894875405,0.03218889739475987,-0.012298504784051081
