sasdate,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58
1959-03-01,7.137595853060518,-1.3218284978068198,-0.7494977266248405,1.3082194992032343,1.444588283930249,-0.10427482160108344,1.820427107224647,-0.9671879859800228,-1.1155320905261705,1.085734860181596,0.25658904586389075,-0.36890082757494513,-0.5353346951917208,-0.37528467703606755,-0.1896608093002755,-1.636886527615128,-1.2498162310008871,0.3918107264836943,1.1843370898385464,0.7416398069609131,-0.6513214897297315,-0.42639704721405114,0.3249146938347467,0.806405253840336,-1.8055245492820111,-0.7713224046204072,-0.3590706782037896,-1.0040948212112972,-1.7427959794024273,0.01289903763994048,-0.6195955971837461,-1.2819209553144948,-0.5719958684338443,0.989819911788443,0.5787866196322164,-0.0009990369816302576,0.2824969048857206,-0.2859758644267378,1.2064494904552492,-0.4314163975701594,0.14589497841743962,0.7917749878947786,-0.378150400879978,-1.4486561325128635,0.6042039457684627,0.4502322228570127,0.44141201367025423,0.006300804202450876,1.829195011520455,0.8444257124614271,-0.2870092536263948,0.5732738360812041,-0.6809436382892006,0.3941281951683319,-0.6901713935523694,-0.46877296016240566,-0.0658069060134768,0.057784999758461124
1959-04-01,7.889474116265537,-0.19461644614398618,-1.1899206686615302,2.3372970792394216,-1.4009064709118473,1.6415529160475468,-0.7215965812748969,-1.2062205179194465,0.8769037844704984,-1.0724541376112344,1.7900598060263124,0.37811767157807413,0.2200359003826692,-1.863398256068338,1.3197251285557596,-2.3217302736153815,-0.10999802764843497,-0.420596061964191,-1.1351348169834834,-0.13579391801076668,-0.09356544235179542,-1.451358378449597,-2.178173252404727,0.03797934824129979,3.2352177500960155,1.3346202874741862,-1.6510195285358886,-1.1553975903099363,1.7439452557873798,-2.4303143007413786,0.36803736268682746,-1.8071497332076205,-1.2490399171783286,0.5722924685800846,-0.7833781865368599,1.5247406003109565,0.287784990486051,0.15467871129847577,0.07680590282468068,0.3468499341673625,-0.5873812148169135,0.6467705811913003,0.11328551871152182,1.78685818675023,-0.7747046921412479,-0.034156821004826525,0.7030434601596944,-0.11729701970255661,-0.9280984395703233,0.4644081165359162,0.31680682689069356,0.2561800325551968,1.3846101343552362,0.29205080972029007,-0.49208400700528654,0.3856410370499294,-0.369836403901772,0.536095277826746
1959-05-01,5.105430228550629,-0.6732487525129457,-0.9440038669314299,1.0163608501650767,-0.1196680524032495,0.6083275714948913,1.3162128240050879,-1.0730374709551511,0.8977309339161651,-1.2948537163867397,-1.2751082407867071,0.7492284503129013,-0.8785649334110234,-0.14085016609008041,-0.23355735082520315,0.004064357957255437,-3.1707316360553035,1.1219425984479172,-0.32808113322984095,0.7708920101277832,0.15765748656098436,-0.11748490517671985,1.0024770892782662,-0.9048522904604973,-0.7642413499436621,-0.520927132825672,0.16517429229433206,0.6471287430826841,-1.305870262859245,0.727864864819669,0.11647951294294057,1.1865332912407198,1.6932782622088913,-1.0994762056427771,0.630418517583524,1.446549590260004,1.1377884626066372,0.6007299236856364,0.33547421032338587,-0.8104606981478252,0.24465216996452493,-0.05279355473677896,1.407450998800291,-0.9494312724845808,0.15655642863350355,-0.9200038107428733,-0.2672445861651988,-0.30327685547700356,0.18995837561198028,0.0897559650170306,0.10170604896455103,0.19104124387329632,-0.460323175873595,0.5538719402183453,-0.06558205129169592,0.537919964308213,0.649885376790508,-0.6345223708935882
1959-06-01,1.488727704340562,0.2733962663110608,1.0226751673884038,1.325457176425603,-0.3174967526049716,-1.0373216727994952,0.35979776319695284,0.031983301114083235,-0.3171396574878973,0.7369256295732458,0.5841086482539778,0.5144790990588225,-0.6329467229000177,0.12673311702900147,0.3733076423197181,0.8197340279211792,-1.0730874505976802,-0.4808487010891446,-1.1603966486200057,-0.3121463361038988,-0.00537908483498406,-0.056971583202960065,0.10039412328291049,0.8282539450116825,-1.1909376654923998,1.4685193691761964,-0.3283351241997178,-1.6041643259128995,-0.4584437409642771,0.2698455872042885,-1.3462843729546885,-0.8538414291291951,0.06792494501344033,0.3763447057011427,-0.1940577339053956,-0.9033667746759254,-0.10497789428606914,0.7480326177416045,0.861214614806125,-0.2515298779290384,0.5839519671407255,0.7185297715683416,-0.32794995563990625,0.5905812725414523,0.11585855072615532,-0.8177531714132665,0.189414658625111,0.931857859772837,0.21062673827700137,-0.3386045173883039,0.6602953466927676,-0.5685587896170031,-0.3914819439555475,0.4428508471477021,0.5865466114559047,0.4316497925416911,0.9364228823916557,-0.3283230417472903
1959-07-01,-3.0884487667977387,-0.8529163812508893,3.529335153602124,0.9335518670657528,2.0979278479640926,-1.4937657882695605,1.4548548211039565,-1.4895922954178666,2.6001972849418777,-0.9179033480473509,1.3071018458032062,-0.4028266564913661,-0.7737017227708753,0.6448051233397426,2.342532400971247,-0.713719048337953,1.3160473459656004,-1.50282073194798,-0.03225969114566761,-1.2490231216085006,1.9925246749846866,0.3132632443332358,0.025624976559744782,0.19637869112484208,-0.21505583465019693,2.0442782926272276,-1.9884226455464913,2.7379369935781908,1.4258393648161918,-0.5191602609894799,1.7191504468643501,1.3294790345692873,0.7491475373810695,0.6512512698719206,-0.8079247149533887,-1.132659455707407,-1.9832853706238294,-0.3431200442523394,-0.6311227306816458,1.7366305378163482,-0.9509618026628455,2.4268123111267066,-2.1603548076615695,2.4313437166836747,0.03922973723603451,0.4833823468132388,1.1726334465731179,-0.8318343479516166,-1.539516271115591,-2.5151200245274814,0.3533408444985715,-2.340663009891925,0.4155310392785156,-0.6210768830282425,2.626451423965072,1.6544250600320196,1.7013388702418204,0.2803332578815505
1959-08-01,-10.047902370098896,0.23576010282337695,6.6528811440721505,-0.6466989444202075,2.8516617980271732,-2.8894044764628477,1.7994029634252202,-0.6733421952988055,5.840906831367389,-0.48502144127080454,2.9988082422629176,-2.6608456919378054,1.2387639193688387,1.6255143242783672,2.6548250425981137,4.04978797486698,0.1414140073141968,0.06455174496547178,-2.044140369300197,-3.357189084338818,2.9499271121557884,2.388224599369182,-2.610292396992166,2.946952166159616,0.3972256066418391,-2.0562871834155043,-0.2690000708983115,-1.2603294969975023,-2.947053072079077,2.7260716807267875,0.3542988730111274,2.50517125668826,1.4516156194349459,-4.043094115245545,-0.09522994553526813,-3.194743854599493,1.1875328141008314,-2.4948135026144325,-0.7592292507588222,-0.687074236385131,0.42583611321708226,3.1744484107070314,-0.47793537654696105,1.8843327353425843,-0.2518722440445815,2.3628505855817896,-0.002420926708003056,-0.7513481782263061,-2.4698489547113724,-2.2588186791691105,2.051726240779291,-0.22953504759183635,-0.9846970426244801,2.724225384302076,-0.07656465959544706,-0.7180420748235609,-0.9838060316621277,-0.5481555367554751
1959-09-01,-1.3648049513359406,2.173918107700055,1.6893336630710312,-0.8707857625951877,-1.9706433422652185,-0.5254021161227652,0.47613524068339136,-0.5158016731323946,-0.2423155459202982,1.5042907663947656,-0.08789329467122929,0.5462237511722685,-0.017505321168184682,1.6818891787253174,-0.23376557620564054,-0.7003216141445575,0.8700276476032006,2.0268005208490463,2.075714123664703,0.03129447399313774,-0.018569361337737775,2.01839694259237,3.649028932451781,-1.136245600743885,0.37646501359666207,-0.06787031804801565,-1.2429257061846128,2.0644830551454594,-0.1982370135863561,-0.5507384487377217,-0.7196013439492894,-0.849947642615833,-1.1031351746898228,1.8587529581738964,2.0426770502804628,-1.132908976767722,-0.7386693808233245,-1.7618681556903397,0.02400114492615803,-0.18732922837011898,-0.18774870161701473,-0.7778099747901904,-0.3587978075366251,0.47840734363984444,0.02082138366276688,0.32901566609609045,-0.9798974368383215,-1.13567725790633,0.49504765115154165,-0.30413445590154914,-0.37250091760311993,-0.22919981639576803,1.7434746916867452,-0.11327602905118175,-0.9784132354644696,-0.0590830134204044,1.5814972254991504,0.050321159961455746
1959-10-01,-4.10925731728109,-1.8500599606982022,2.2863045901102397,-0.558827696895771,0.13048867826685798,-2.1383418994676084,0.49036836839187037,-0.21179159121121363,-0.13256344977654547,-0.057425696374939786,1.8578229184458246,0.9212319509937063,-1.0190114394401446,-1.2323504808027497,1.2108722321683294,-0.18103154326303508,-0.09315361142119596,-2.103612138079244,0.48251091248113104,-0.9067870387115241,-0.250729015865972,-0.2185012846865433,-1.0159204978112322,0.8348978268669934,0.12105802692169025,1.3894284057246473,-0.6214936832199156,-0.31768432622223053,1.7341924807543323,1.5674604277330715,-0.4194734706557276,0.179802629096853,0.7481430020032116,-0.724247344409256,-0.42432668887427055,0.3173715578554006,0.6024571294877331,1.1680161033645733,-0.8052218437493108,0.6428116783278843,-0.2785590610413971,0.4114310732958031,-0.22009161446903122,-1.1429721344126003,1.4866720758598195,-0.6041791701291279,-0.02520831118250674,1.1701008744446397,0.19139233563482175,0.5704970209552822,-0.32354434111002073,1.4092088885447047,0.27967771541116443,0.349259345953206,1.064202916259617,-1.3339908926002335,-1.3561093300731408,-0.35106043650403973
1959-11-01,-0.34998665312017324,-1.4645905625627946,0.982858474226754,1.388687650855165,-1.4944794544264188,0.17377399336497443,1.3138112837250095,-2.458938695122628,-3.0244827842890207,-1.9529748659870507,-4.041657840572497,-1.6912999127951989,-0.07624997997615375,0.26919862203406786,-4.383024594899074,-0.056079866298363736,-1.1018500932772686,3.872152257858902,-1.091732851538657,0.07693075019550205,-0.7061418313642656,-0.9681434522116463,0.3046815140331322,-2.675075134929971,-2.3259913952190474,0.707617311930727,0.8355803031190726,-0.6784521387433093,-1.8926028473908998,-3.310476653989218,-1.2763632578666932,-1.2378643472704474,-1.3911022398697006,2.860351719403859,0.7078593192635851,2.14864073239662,-0.7750044315775212,0.47589729809845976,1.440978035093321,-0.8850742707308203,-1.5768821242583655,-2.214424740510089,0.6072428824984002,-1.0456143577020773,0.13502938661544434,-1.6603799893385298,0.05303797647042497,-0.9011718101422752,0.05278637593478753,0.8489012888375269,0.308030484647737,1.6668641402132294,-1.2661062108630279,1.4808901201110563,-1.0911672263352312,-0.36358953820312084,-0.22111799847038893,-2.4928186764967344
1959-12-01,16.186394539230296,0.10064657005766948,-6.432779847193847,0.11681242418628578,-3.706345311483283,3.028203879943121,1.0776094376572856,-1.962187638764991,-1.77818533156053,3.4976148438369123,1.2578384978646122,1.3900005617691342,-1.7932314564421519,0.8798939600970561,-1.5969509900132106,-6.449338293414275,-1.3011536721571302,-0.8756125946278963,1.1448977269960898,2.8011440780455894,1.0094609531783516,0.4587872976830257,-1.097482781859518,-2.852789802220139,1.8829145315578677,-2.1954191047298917,-1.4139667594023722,0.13295892051415598,3.0823908179694284,-0.37924714042249613,0.003899775444816442,-1.225294403032771,0.005874550866334295,1.35980908266377,-0.5079898188869844,0.5288337735185273,-0.4467426144689357,-0.49985497109200944,-1.0397378663726922,0.6331133501562997,-0.21631793089534423,-0.9480866159841111,-1.0355674787808304,-0.14670555693261672,-1.3011330934513714,-1.0227458621193382,-1.0589313885282754,-0.48773958591977196,0.2002318060132881,-0.18461363263340258,0.19961273425173784,0.010533720782247258,0.7422645835592636,-0.8519492058390469,1.8560092277004432,1.3417259775863517,-1.5322737116981942,0.6165987479027429
1960-01-01,6.145502265707881,-1.5435131146132652,-5.198502588661213,-1.8828722994988714,-2.777423256533245,-0.2012210159511635,-1.3456844998106499,-2.343077848003768,2.57778936322137,-0.6524546974210261,-2.485730382782278,-1.9470744936110256,1.927567984457728,-1.7312763872057324,1.3972690956208378,0.5568519576497578,-3.456391155908853,-1.5055595644947182,-1.6814179572656736,-1.7108942878669138,-2.637315125094076,0.33118788375744007,2.051850962066305,2.908176918260655,-1.7854473322245847,1.2508025615542822,-0.2393610375340037,0.391960486730543,-2.2316225533465763,1.1516812549117343,0.40036067921429064,0.632683567663728,-0.21211363003611916,-1.3197374253104601,0.05129821289792604,0.11458413528261331,1.5855687092885524,0.6636764682995855,-1.1535930407088113,-1.3027391673754023,0.9367359924367846,-0.7371733543163824,1.4783634890663542,-0.7655363170576157,0.09550445428047533,-0.8930813070150551,0.5993880013184024,-0.32376675444209047,1.6882132122285443,1.1480328111742046,-0.5831113093206434,-1.3586557059901208,-0.46611214084506236,-1.0543235157409583,2.879033066667652,1.9327829539100356,-0.7053669900632734,1.0678970957893086
