Date,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
1993-01-01,24.11326789855957,,,,,,,,,
1993-02-01,24.370512008666992,,,,,,,,,
1993-03-01,24.799272537231445,,,,,,,,,
1993-04-01,24.278860092163086,,,,,,,,,
1993-05-01,24.933639526367188,,,,,,,,,
1993-06-01,24.847455978393555,,,,,,,,,
1993-07-01,24.90209197998047,,,,,,,,,
1993-08-01,25.856525421142578,,,,,,,,,
1993-09-01,25.509458541870117,,,,,,,,,
1993-10-01,26.17478370666504,,,,,,,,,
1993-11-01,25.895402908325195,,,,,,,,,
1993-12-01,26.03508186340332,,,,,,,,,
1994-01-01,27.127517700195312,,,,,,,,,
1994-02-01,26.336389541625977,,,,,,,,,
1994-03-01,25.088138580322266,,,,,,,,,
1994-04-01,25.515769958496094,,,,,,,,,
1994-05-01,25.92246437072754,,,,,,,,,
1994-06-01,25.162118911743164,,,,,,,,,
1994-07-01,26.14724349975586,,,,,,,,,
1994-08-01,27.144023895263672,,,,,,,,,
1994-09-01,26.298553466796875,,,,,,,,,
1994-10-01,27.210609436035156,,,,,,,,,
1994-11-01,26.127197265625,,,,,,,,,
1994-12-01,26.109296798706055,,,,,,,,,
1995-01-01,27.20194435119629,,,,,,,,,
1995-02-01,28.312042236328125,,,,,,,,,
1995-03-01,28.94380760192871,,,,,,,,,
1995-04-01,29.962505340576172,,,,,,,,,
1995-05-01,31.15121078491211,,,,,,,,,
1995-06-01,31.595836639404297,,,,,,,,,
1995-07-01,32.80364990234375,,,,,,,,,
1995-08-01,32.949668884277344,,,,,,,,,
1995-09-01,34.16361999511719,,,,,,,,,
1995-10-01,34.24503707885742,,,,,,,,,
1995-11-01,35.76825714111328,,,,,,,,,
1995-12-01,36.10776138305664,,,,,,,,,
1996-01-01,37.62358856201172,,,,,,,,,
1996-02-01,37.74362564086914,,,,,,,,,
1996-03-01,38.223716735839844,,,,,,,,,
1996-04-01,38.8108024597168,,,,,,,,,
1996-05-01,39.691837310791016,,,,,,,,,
1996-06-01,39.830928802490234,,,,,,,,,
1996-07-01,38.24266815185547,,,,,,,,,
1996-08-01,38.979156494140625,,,,,,,,,
1996-09-01,40.946285247802734,,,,,,,,,
1996-10-01,42.487709045410156,,,,,,,,,
