sasdate,PC1,PC2,PC3,PC4,PC5,PC6
1959-03-01,0.2218736658663138,0.08792280638484304,-0.12430387429798014,-0.07069958045291934,-0.3974752338314092,-0.0825501513696259
1959-04-01,0.19416508333021823,0.16578335386589438,-0.08154670213019931,-0.07001203318309838,-0.41480376312451855,-0.10248275072290455
1959-05-01,0.07572683571168469,0.12718434358057587,-0.12314750474844743,-0.06129203017141158,-0.34161408483981576,-0.020949857871273597
1959-06-01,-0.06003541309455318,0.08147160492108599,-0.16890297082531153,-0.058669052351513026,-0.23648910300886097,-0.05038739480389421
1959-07-01,-0.15261846508277482,-0.006868107160921656,-0.0628096287928846,-0.0752370350842417,-0.011144405911496593,-0.024926028944782047
1959-08-01,-0.32138665726002136,-0.4211529036465562,0.4371858091848176,-0.3062828832416846,1.0445608600179876,-0.005895393235022159
1959-09-01,-0.11086894593800185,0.047070101744678856,-0.13617203558474936,-0.05668547171663052,-0.014080812508987402,-0.07887740404300027
1959-10-01,-0.16340494589551224,-0.027176783879273976,-0.026992460792147295,-0.012725285972879414,0.04926351877578961,0.024176407995017548
1959-11-01,-0.13461359733842101,0.0196259323298449,-0.07032469420090842,0.0013600315178021948,-0.2021940481031386,-0.04809362330638919
1959-12-01,2.0308374961663853,0.786516976921783,0.5473617545468101,-0.06854081220819842,-0.835155169288451,-0.16377496440578934
1960-01-01,0.31490380680650387,0.33296207789478094,0.10182149782408369,-0.04701742381945962,-0.35010305458303326,-0.07474566538419777
1960-02-01,-0.09572788441117994,0.04699588021337482,-0.1623427736798864,-0.07160010676513193,-0.15124226678510147,-0.027016119466944453
1960-03-01,-0.26487005144482223,-0.32552532692113434,0.3956835070076943,-0.08613646569751554,0.6191727017586269,-0.018813354333552672
1960-04-01,0.18435973163601727,-0.10583025850398262,-0.24874056286790536,-0.07672438279665152,-0.2419331996562986,-0.026695681508152283
1960-05-01,-0.1895934771575229,-0.08696037454520524,0.06147099093849696,0.06488787166503925,0.1856134471139794,-0.009816015921815616
1960-06-01,-0.20511336752519216,-0.1479410083155734,0.13942380453700476,-0.0902219148266914,0.542636255186752,0.06508294122945456
1960-07-01,-0.1701111290177589,-0.06465343314333462,0.02988584990182017,-0.01552495954014634,0.2502780521946268,-0.031019548930712817
1960-08-01,-0.14473643785107604,0.02071253186852992,-0.09223253708522167,-0.0792499845788196,0.09607166873883104,-0.014041961552006382
1960-09-01,-0.14564344438075574,-0.014843154275589465,-0.047290482528284564,0.03712796746963457,0.23255087978037653,-0.005490729525345528
1960-10-01,-0.1619122835365289,-0.04041826090897783,0.013665401083211567,0.015520009391265565,0.4730079743528571,-0.08144714257583774
1960-11-01,-0.2022262103446316,-0.12431413213103822,0.09955507914946808,-0.07628316324326011,0.6746296638216296,0.13535381987412748
1960-12-01,-0.3009001887758175,-0.4005349560093905,0.4685140036773262,-0.11913558383834422,1.2838005161761676,-0.008892486421116943
1961-01-01,-0.12694460095895352,0.023955537397374632,-0.07347805013996066,0.08173708612352104,0.18700272451668865,-0.0019809085180837846
1961-02-01,-0.14372032981445895,0.021675749521881303,-0.08196662806101834,-0.05471574181372901,0.34466355652538816,-0.04829827361496674
1961-03-01,0.012286112478635747,0.10877931268807639,-0.09563997870748588,0.0015739593288389049,-0.1529138675904683,0.0277637677624567
1961-04-01,-0.03265211645230626,0.17662830601523619,-0.038248189387230354,0.10519401236555992,-0.11471574476285926,-0.03231197469114323
1961-05-01,0.18567653075554472,0.23508040018612106,0.005387871246419748,-0.05658397211459881,-0.24734566333445548,-0.07186222845956111
1961-06-01,0.1495835737099241,0.06378724683842471,-0.12965931992831867,0.013907604248296672,-0.3051301285034963,-0.052751634205369054
1961-07-01,-0.03990077424261408,0.11731012271590198,-0.10775024272624299,0.02522042714095066,-0.1344250336765461,-0.0809885548253998
1961-08-01,0.041775645250576976,0.1195740063971852,-0.13746397619409456,-0.04394124573340257,-0.32691027505138875,-0.05540176540576738
1961-09-01,-0.15154545703745384,-0.011235950431675357,-0.04441126709314055,-0.060388359016248574,-0.014281808697375047,-0.003229813854687246
1961-10-01,0.14314252441091058,0.18562496512927384,-0.0506305403785383,0.0017865587599455999,-0.33811512124925586,-0.08264201037427
1961-11-01,0.2443488535015274,0.15847213927898043,-0.05557945129222165,-0.06831728129118757,-0.3467234495653005,-0.07332835745128513
1961-12-01,-0.044711890365096,0.10684464182263854,-0.12958061437008106,-0.009033664597453772,-0.2342144271883027,-0.035245429255596476
1962-01-01,-0.13849124653686765,0.03290721156064139,-0.11591627263822335,-0.06636773004469747,0.05037181894417535,-0.03376051593664649
1962-02-01,0.17080657377422667,0.1163533610465624,-0.10484945628908902,-0.06710494321634762,-0.3297766395885275,-0.07600502938035993
1962-03-01,-0.07991163233362134,0.08596576664931849,-0.1327766261251003,0.0037065448141863663,-0.23448728350137477,-0.01683529794590852
1962-04-01,-0.002664526810962601,0.04223343212771221,-0.16890225024743316,-0.034861779947535,-0.2799349634171906,-0.026462708310763573
1962-05-01,-0.1219609018174965,0.037930242582931366,-0.10163249027646784,0.06376004710971392,-0.07995012828905108,-0.046270042928550234
1962-06-01,-0.16696379835603675,-0.05938786976702072,0.0231371781449369,0.09602183993619319,-0.10292752467365845,-0.031017582493745217
1962-07-01,-0.053793263948758795,0.1100598386774263,-0.1446899046368626,-0.0319850651257715,-0.23669662016831414,-0.04694167286994491
1962-08-01,-0.07443805840331218,0.053729355136814566,-0.15733740379761219,-0.09495422819716054,-0.04364662925919608,-0.029667250295086066
1962-09-01,-0.023009796476212166,0.11466028480660788,-0.1301158849156669,-0.05593136193754892,-0.18835019645621653,-0.07385458179535001
1962-10-01,-0.147216483262812,0.0037809712828257534,-0.057067306684670846,0.14109434064646184,-0.1922615693636708,0.062461048867789117
1962-11-01,-0.04962075664709228,0.09390178994282752,-0.1392927347809594,-0.08120990076539028,-0.0974684507371482,-0.05940603495411913
1962-12-01,-0.13106735270749562,0.048916546556810145,-0.12174646885972043,0.004048364262941451,-0.117552309622335,-0.014608436483803975
1963-01-01,-0.008666730118648268,0.12058041204413061,-0.12522584961114278,-0.07077473373538701,-0.14026530295304393,-0.06795420789781945
1963-02-01,-0.02799112606026033,0.0811636861586673,-0.1560420164839612,-0.03471444889573294,-0.23155615942538965,-0.07178428331270349
1963-03-01,-0.08135643332140916,0.08811433060189647,-0.16201712505901292,-0.019041158229121558,-0.25704447000496805,-0.05098426331732444
1963-04-01,0.07444717922328295,0.05481053155833613,-0.16940737310494147,-0.06582084272907172,-0.3138506028277438,-0.0006104445750481709
