date,naive_lo_l1,naive_lns_l1,naive_los_l1,naive_mx_l1,naive_lo_l2,naive_lns_l2,naive_los_l2,naive_mx_l2,naive_lo_l3,naive_lns_l3,naive_los_l3,naive_mx_l3,naive_lo_l4,naive_lns_l4,naive_los_l4,naive_mx_l4,naive_random_lo_l1,naive_random_lns_l1,naive_random_los_l1,naive_random_mx_l1,naive_random_lo_l2,naive_random_lns_l2,naive_random_los_l2,naive_random_mx_l2,naive_random_lo_l3,naive_random_lns_l3,naive_random_los_l3,naive_random_mx_l3,naive_random_lo_l4,naive_random_lns_l4,naive_random_los_l4,naive_random_mx_l4,black_litterman_lo_l1,black_litterman_lns_l1,black_litterman_los_l1,black_litterman_mx_l1,black_litterman_lo_l2,black_litterman_lns_l2,black_litterman_los_l2,black_litterman_mx_l2,black_litterman_lo_l3,black_litterman_lns_l3,black_litterman_los_l3,black_litterman_mx_l3,black_litterman_lo_l4,black_litterman_lns_l4,black_litterman_los_l4,black_litterman_mx_l4,mvo_lo_l1,mvo_lns_l1,mvo_los_l1,mvo_mx_l1,mvo_lo_l2,mvo_lns_l2,mvo_los_l2,mvo_mx_l2,mvo_lo_l3,mvo_lns_l3,mvo_los_l3,mvo_mx_l3,mvo_lo_l4,mvo_lns_l4,mvo_los_l4,mvo_mx_l4,ridge_lo_l1,ridge_lns_l1,ridge_los_l1,ridge_mx_l1,ridge_lo_l2,ridge_lns_l2,ridge_los_l2,ridge_mx_l2,ridge_lo_l3,ridge_lns_l3,ridge_los_l3,ridge_mx_l3,ridge_lo_l4,ridge_lns_l4,ridge_los_l4,ridge_mx_l4,ridge_random_lo_l1,ridge_random_lns_l1,ridge_random_los_l1,ridge_random_mx_l1,ridge_random_lo_l2,ridge_random_lns_l2,ridge_random_los_l2,ridge_random_mx_l2,ridge_random_lo_l3,ridge_random_lns_l3,ridge_random_los_l3,ridge_random_mx_l3,ridge_random_lo_l4,ridge_random_lns_l4,ridge_random_los_l4,ridge_random_mx_l4
2021-04-01,-0.04793862679444605,-0.04101532330736368,-0.04793862679444605,-0.04793862679444605,-0.03738752126363376,-0.03411151254992817,-0.03738752126363376,-0.03738752126363376,-0.036188748927404424,-0.030724227147809646,-0.036188748927404424,-0.036188748927404424,-0.033233357171806865,-0.026025949799748482,-0.033233357171806865,-0.033233357171806865,-0.04793862679444605,-0.040151319628365933,-0.04793862679444605,-0.04793862679444605,-0.041116420579985546,-0.03715846626418551,-0.041116420579985546,-0.041116420579985546,-0.03577370725679163,-0.030304009386467268,-0.03577370725679163,-0.03577370725679163,-0.03307035101726974,-0.026064974130932228,-0.03307035101726974,-0.03307035101726974,-0.04793862679444605,-0.03747708556650975,-0.04793862679444605,-0.04793862679444605,-0.0376021243129574,-0.03241537023253316,-0.0376021243129574,-0.0376021243129574,-0.03653840465652536,-0.029130975686490368,-0.03653840465652536,-0.03653840465652536,-0.033406539443866734,-0.017670848118140126,-0.033406539443866734,-0.033406539443866734,-0.026209729733969733,-0.035449265918883865,-0.09465090321441627,-0.026209729733969733,-0.023845740600368703,-0.05202868685656026,-0.035449265918883865,-0.0189826382462297,-0.029800479991621942,-0.046938743887499856,-0.01985824935888858,-0.024616501056317852,-0.014978919710304184,-0.04053634139954254,-0.01753443953702616,-0.012796867207589657,-0.04793862679444605,-0.14718706527194436,-0.04793862679444605,-0.04793862679444605,-0.03738455528098428,-0.05720038462560284,-0.03738455528098428,-0.03738455528098428,-0.030701145456645262,-0.03831659513453667,-0.032303458552242925,-0.02851875985060981,-0.02887191280337098,-0.0289525037802143,-0.01958732481704284,-0.026589500190114967,-0.04793862679444605,-0.0855082790081303,-0.02397644137290933,-0.04793862679444605,-0.0381188888932551,-0.03398620073480463,-0.08119549454272679,-0.0381188888932551,-0.036709183034794535,-0.03051422100646095,-0.04608499790536169,-0.036709183034794535,-0.033670324087358594,-0.02846937057041865,-0.03379739463281617,-0.033670324087358594
2021-05-01,-0.0060737719943034785,-0.006144778611245627,-0.0060737719943034785,-0.0060737719943034785,0.0,0.0,0.0,0.0,-0.004679140977439045,0.0,-0.004679140977439045,-0.004679140977439045,0.0,0.0,0.0,0.0,-0.004680328995727456,-0.007913033828980787,-0.004680328995727456,-0.004680328995727456,-0.02549526205794994,-0.02897289764657751,-0.02549526205794994,-0.02549526205794994,-0.016215282405343312,-0.013339567841205602,-0.016215282405343312,-0.016215282405343312,-0.0052674925597197,-0.008353252855618387,-0.0052674925597197,-0.0052674925597197,-0.0060737719943034785,-0.00617038366674294,-0.0060737719943034785,-0.0060737719943034785,0.0,0.0,0.0,0.0,-0.0007827892733107689,0.0,-0.0007827892733107689,-0.0007827892733107689,-0.009071794399267863,-0.008438808982525803,-0.009071794399267863,-0.009071794399267863,-0.005308359243275773,-0.058565645206030026,-0.14571510933814447,-0.013962729831891063,0.0,-0.05462592304836833,-0.058565645206030026,-0.0036074065881395168,-0.0023921653007156207,-0.040768373293181503,-0.0284354839908717,-0.004902602838436132,-0.010586002378739523,-0.039414736208214785,-0.021942718127482608,-0.010994883567291391,-0.0060737719943034785,-0.12989698081340761,-0.0060737719943034785,-0.0060737719943034785,0.0,-0.05318290015796545,0.0,0.0,-0.009106108965199256,-0.03831659513453656,-0.010709639649419178,-0.009106108965199367,-0.011373472716455502,-0.02895250378021441,-0.011373472716455613,-0.011373472716455724,-0.004680328995727456,-0.06846267357584201,-0.0060737719943035895,-0.004680328995727456,0.0,-0.02363278490065568,-0.054121973876227636,0.0,-0.01246780522648161,-0.03051422100646095,-0.01246780522648172,-0.01246780522648161,-0.009687023674713968,-0.02846937057041865,-0.009687023674713968,-0.009687023674713857
2021-06-01,-0.010305546324651749,-0.01030554632465186,-0.010305546324651749,-0.010305546324651749,0.0,0.0,0.0,0.0,-0.004679140977439045,0.0,-0.004679140977439045,-0.004679140977439045,-0.0049709137894746735,0.0,-0.0049709137894746735,-0.0049709137894746735,-0.009305546324651859,-0.009305546324651859,-0.009305546324651859,-0.009305546324651859,-0.025495262057950052,-0.028972897646577733,-0.025495262057950052,-0.025495262057950052,-0.016215282405343312,-0.01333956784120549,-0.016215282405343312,-0.016215282405343312,-0.0052674925597197,-0.008353252855618498,-0.0052674925597197,-0.0052674925597197,-0.009305546324651859,-0.009305546324651748,-0.009305546324651859,-0.009305546324651859,-0.020591955321514366,-0.014222777397960074,-0.020591955321514366,-0.020591955321514366,-0.013493642434583175,-0.004931922704650926,-0.013493642434583175,-0.013493642434583175,-0.009071794399268085,-0.00843880898252558,-0.009071794399268085,-0.009071794399268085,-0.010305546324651749,-0.06613406337276051,-0.1513752793733233,-0.02356399861324432,0.0,-0.05450466344119209,-0.06613406337276062,-0.0036074065881394057,-0.004462510109433215,-0.04844586948877616,-0.031668105037730765,-0.004902602838436132,-0.010586002378739412,-0.039437334035113625,-0.027306778048728497,-0.010994883567291502,-0.010305546324651749,-0.08772868405795986,-0.010305546324651749,-0.010305546324651749,-0.0212495667428787,-0.05318290015796556,-0.0212495667428787,-0.0212495667428787,-0.009106108965199367,-0.03831659513453656,-0.009106108965199144,-0.009106108965199144,-0.011373472716455613,-0.028952503780214522,-0.011373472716455613,-0.011373472716455613,-0.009305546324651859,-0.04116884076637917,-0.009305546324651859,-0.009305546324651859,-0.020820100947901654,-0.023632784900655568,-0.020820100947901654,-0.020820100947901654,-0.01246780522648161,-0.03051422100646095,-0.01246780522648161,-0.01246780522648161,-0.009687023674713968,-0.02846937057041865,-0.009687023674713968,-0.009687023674713968
2021-07-01,-0.010305546324651749,-0.010305546324651749,-0.010305546324651749,-0.010305546324651749,0.0,0.0,0.0,0.0,-0.004679140977439045,0.0,-0.004679140977439045,-0.004679140977439045,-0.004970913789474785,0.0,-0.004970913789474785,-0.004970913789474785,-0.009305546324651637,-0.009305546324651748,-0.009305546324651637,-0.009305546324651637,-0.025495262057950052,-0.028972897646577622,-0.025495262057950052,-0.025495262057950052,-0.0162152824053432,-0.013339567841205602,-0.0162152824053432,-0.0162152824053432,-0.005267492559719811,-0.008353252855618498,-0.005267492559719811,-0.005267492559719811,-0.009305546324651748,-0.009305546324651859,-0.009305546324651748,-0.009305546324651748,-0.020591955321514366,-0.014222777397960074,-0.020591955321514366,-0.020591955321514366,-0.013493642434582953,-0.004931922704650815,-0.013493642434582953,-0.013493642434582953,-0.009071794399267974,-0.008438808982525692,-0.009071794399267974,-0.009071794399267974,-0.010305546324651749,-0.06613406337276073,-0.143685309368764,-0.023563998613244208,0.0,-0.05450466344119198,-0.06613406337276073,-0.0036074065881395168,-0.004462510109433104,-0.04844586948877616,-0.031668105037730654,-0.004902602838436132,-0.010586002378739523,-0.039437334035113625,-0.027306778048728608,-0.010994883567291502,-0.010305546324651749,-0.08772868405795997,-0.010305546324651749,-0.010305546324651749,-0.021249566742878923,-0.05318290015796556,-0.021249566742878923,-0.021249566742878923,-0.009106108965199256,-0.03831659513453667,-0.009106108965199256,-0.009106108965199256,-0.011373472716455613,-0.02895250378021441,-0.011373472716455613,-0.011373472716455613,-0.009305546324651637,-0.04116884076637917,-0.009305546324651748,-0.009305546324651637,-0.020820100947901543,-0.02363278490065568,-0.020820100947901543,-0.020820100947901543,-0.01246780522648161,-0.030514221006461062,-0.01246780522648161,-0.01246780522648161,-0.009687023674713968,-0.02846937057041865,-0.009687023674713968,-0.009687023674713968
2021-08-01,-0.010305546324651749,-0.010305546324651749,-0.010305546324651749,-0.010305546324651749,0.0,0.0,0.0,0.0,-0.0036328981432968144,0.0,-0.0036328981432968144,-0.0036328981432968144,-0.0049709137894746735,0.0,-0.0049709137894746735,-0.0049709137894746735,-0.009305546324651748,-0.009305546324651637,-0.009305546324651748,-0.009305546324651748,-0.021302706178598307,-0.014125228079473251,-0.021302706178598307,-0.021302706178598307,-0.008927765174253421,0.0,-0.008927765174253421,-0.008927765174253421,-0.004980405229816132,0.0,-0.004980405229816132,-0.004980405229816132,-0.009305546324651859,-0.009305546324651859,-0.009305546324651859,-0.009305546324651859,-0.020591955321514477,-0.014222777397960074,-0.020591955321514477,-0.020591955321514477,-0.013493642434583175,-0.004931922704650926,-0.013493642434583175,-0.013493642434583175,-0.0042388003886616454,-0.0018025008290338818,-0.0042388003886616454,-0.0042388003886616454,-0.010305546324651638,-0.06613406337276062,-0.16747667372500707,-0.023563998613244097,0.0,-0.05255295886368816,-0.06613406337276062,-0.0036074065881395168,-0.004462510109433215,-0.04844586948877616,-0.031668105037730654,-0.004902602838436132,-0.010586002378739523,-0.039437334035113625,-0.02730677804872872,-0.010994883567291502,-0.010305546324651749,-0.06622848333085107,-0.010305546324651749,-0.010305546324651749,-0.02124956674287881,-0.0427820617702811,-0.02124956674287881,-0.02124956674287881,-0.005633057492754334,-0.023417218433433695,-0.005633057492754334,-0.005633057492754334,-0.003276685835884363,-0.013420070327465838,-0.003276685835884363,-0.003276685835884363,-0.009305546324651748,-0.029897035158705343,-0.009305546324651859,-0.009305546324651748,-0.020820100947901654,-0.020552681168795273,-0.020820100947901654,-0.020820100947901654,-0.010017023417866144,-0.01980062646154024,-0.010017023417866144,-0.010017023417866144,-0.0009813322902209043,-0.017421187585143993,-0.0009813322902209043,-0.0009813322902209043
2021-09-01,-0.01030554632465186,-0.01030554632465186,-0.01030554632465186,-0.01030554632465186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004970913789474785,0.0,-0.004970913789474785,-0.004970913789474785,-0.009305546324651748,-0.009305546324651859,-0.009305546324651748,-0.009305546324651748,-0.021302706178598196,-0.01412522807947314,-0.021302706178598196,-0.021302706178598196,-0.008927765174253421,0.0,-0.008927765174253421,-0.008927765174253421,-0.004980405229816243,0.0,-0.004980405229816243,-0.004980405229816243,-0.009305546324651637,-0.009305546324651637,-0.009305546324651637,-0.009305546324651637,-0.020591955321514255,-0.014222777397960074,-0.020591955321514255,-0.020591955321514255,-0.013493642434583175,-0.004931922704650815,-0.013493642434583175,-0.013493642434583175,-0.0042388003886617565,-0.0018025008290338818,-0.0042388003886617565,-0.0042388003886617565,-0.010305546324651749,-0.04826563293376884,-0.16916954394004757,-0.011063997522111846,0.0,-0.024381638962277186,-0.04826563293376884,-0.0013424330897633396,-0.004462510109432993,-0.01926731297286799,-0.021763512930305318,-0.004425049998130759,0.0,-0.007605233305183812,-0.01566743192328046,0.0,-0.01030554632465186,-0.010310877084049652,-0.01030554632465186,-0.01030554632465186,-0.0212495667428787,-0.019318018160140227,-0.0212495667428787,-0.0212495667428787,-0.005633057492754223,-0.0010656511265784152,-0.005633057492754223,-0.005633057492754223,-0.003276685835884585,-0.0031537942356165694,-0.003276685835884585,-0.003276685835884585,-0.009305546324651748,-0.009305546324651859,-0.009305546324651637,-0.009305546324651748,-0.020820100947901654,-0.014295232965448323,-0.020820100947901654,-0.020820100947901654,-0.010017023417866144,-0.002134937241926149,-0.010017023417866144,-0.010017023417866144,-0.0009813322902209043,0.0,-0.0009813322902209043,-0.0009813322902209043
2021-10-01,-0.060052836683269994,-0.060052836683269994,-0.060052836683269994,-0.060052836683269994,-0.05981357892928818,-0.053618243404338295,-0.05981357892928818,-0.05981357892928818,-0.056708224803942775,-0.047837621407231024,-0.056708224803942775,-0.056708224803942775,-0.04900068770614174,-0.046864978221470954,-0.04900068770614174,-0.04900068770614174,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.05941238840047658,-0.05432804387865253,-0.05941238840047658,-0.05941238840047658,-0.05646869205136984,-0.05512074578180759,-0.05646869205136984,-0.05646869205136984,-0.048897942042912756,-0.051756911497717994,-0.048897942042912756,-0.048897942042912756,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.043861500205073845,-0.03399065444502336,-0.043861500205073845,-0.043861500205073845,-0.045474346568175616,-0.039681341379841695,-0.045474346568175616,-0.045474346568175616,-0.04849228768779634,-0.04608130701111157,-0.04849228768779634,-0.04849228768779634,-0.060052836683269994,-0.03181252822653102,-0.13273116381880257,-0.041461269470341566,-0.059481732797880715,-0.015761302640459496,-0.03181252822653102,-0.04932462879782107,-0.06111619985947714,-0.019245295015771213,-0.012240800551410858,-0.05280170091630998,-0.0560248686494198,-0.019331303055380777,-0.018000701213636172,-0.04958291774954471,-0.060052836683269994,-0.060164656920672965,-0.060052836683269994,-0.060052836683269994,-0.04338725979800262,-0.03932871859495646,-0.04338725979800262,-0.04338725979800262,-0.04910943250410327,-0.04622689197534002,-0.04910943250410327,-0.04910943250410327,-0.04944186126180006,-0.04991016882783894,-0.04944186126180006,-0.04944186126180006,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.045324025842660265,-0.039140789335003756,-0.045324025842660265,-0.045324025842660265,-0.04678509405932685,-0.04546587144916636,-0.04678509405932685,-0.04678509405932685,-0.04150089573688687,-0.04173941443013185,-0.04150089573688687,-0.04150089573688687
2021-11-01,-0.060052836683269994,-0.060052836683269994,-0.060052836683269994,-0.060052836683269994,-0.05981357892928829,-0.053618243404338184,-0.05981357892928829,-0.05981357892928829,-0.056708224803942775,-0.047837621407231024,-0.056708224803942775,-0.056708224803942775,-0.04900068770614174,-0.046864978221470954,-0.04900068770614174,-0.04900068770614174,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.05941238840047658,-0.05432804387865242,-0.05941238840047658,-0.05941238840047658,-0.05646869205136984,-0.05512074578180737,-0.05646869205136984,-0.05646869205136984,-0.048897942042912645,-0.051756911497717994,-0.048897942042912645,-0.048897942042912645,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.043861500205073733,-0.03399065444502336,-0.043861500205073733,-0.043861500205073733,-0.04547434656817573,-0.039681341379841695,-0.04547434656817573,-0.04547434656817573,-0.048492287687796454,-0.04608130701111168,-0.048492287687796454,-0.048492287687796454,-0.060052836683269994,-0.028229526974474783,-0.10632594085145985,-0.041461269470341566,-0.059481732797880604,-0.015761302640459496,-0.028229526974474783,-0.04932462879782096,-0.06111619985947725,-0.019245295015771213,-0.012240800551410858,-0.05280170091630998,-0.05602486864941991,-0.019331303055380777,-0.018000701213636172,-0.04958291774954471,-0.060052836683269994,-0.060164656920672854,-0.060052836683269994,-0.060052836683269994,-0.0433872597980024,-0.03932871859495646,-0.0433872597980024,-0.0433872597980024,-0.04910943250410327,-0.04622689197534002,-0.04910943250410327,-0.04910943250410327,-0.04944186126180006,-0.04991016882783894,-0.04944186126180006,-0.04944186126180006,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.045324025842660376,-0.039140789335003645,-0.045324025842660376,-0.045324025842660376,-0.04678509405932685,-0.04546587144916614,-0.04678509405932685,-0.04678509405932685,-0.04150089573688698,-0.04173941443013185,-0.04150089573688698,-0.04150089573688698
2021-12-01,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.05981357892928818,-0.053618243404338184,-0.05981357892928818,-0.05981357892928818,-0.056708224803942775,-0.0478376214072308,-0.056708224803942775,-0.056708224803942775,-0.049000687706141854,-0.04686497822147084,-0.049000687706141854,-0.049000687706141854,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.05941238840047658,-0.05432804387865231,-0.05941238840047658,-0.05941238840047658,-0.05646869205136995,-0.05512074578180737,-0.05646869205136995,-0.05646869205136995,-0.048897942042912534,-0.051756911497717994,-0.048897942042912534,-0.048897942042912534,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.043861500205073845,-0.03399065444502347,-0.043861500205073845,-0.043861500205073845,-0.045474346568175505,-0.039681341379841695,-0.045474346568175505,-0.045474346568175505,-0.04849228768779634,-0.04608130701111157,-0.04849228768779634,-0.04849228768779634,-0.060052836683270105,-0.028229526974474894,-0.10036530005481437,-0.04146126947034168,-0.059481732797880715,-0.015761302640459496,-0.028229526974474894,-0.04932462879782096,-0.06111619985947703,-0.019245295015771102,-0.012240800551410858,-0.05280170091630998,-0.05602486864941969,-0.019331303055380666,-0.018000701213636172,-0.04958291774954482,-0.060052836683270105,-0.060164656920672965,-0.060052836683270105,-0.060052836683270105,-0.04338725979800251,-0.03932871859495635,-0.04338725979800251,-0.04338725979800251,-0.049109432504103157,-0.04622689197533991,-0.049109432504103157,-0.049109432504103157,-0.049441861261799946,-0.04991016882783894,-0.049441861261799946,-0.049441861261799946,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.045324025842660376,-0.039140789335003756,-0.045324025842660376,-0.045324025842660376,-0.04678509405932685,-0.04546587144916614,-0.04678509405932685,-0.04678509405932685,-0.04150089573688687,-0.04173941443013163,-0.04150089573688687,-0.04150089573688687
2022-01-01,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.05981357892928807,-0.053618243404338295,-0.05981357892928807,-0.05981357892928807,-0.056708224803942664,-0.047837621407231024,-0.056708224803942664,-0.056708224803942664,-0.04900068770614174,-0.046864978221471065,-0.04900068770614174,-0.04900068770614174,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.05941238840047658,-0.05432804387865242,-0.05941238840047658,-0.05941238840047658,-0.05646869205136984,-0.05512074578180748,-0.05646869205136984,-0.05646869205136984,-0.048897942042912645,-0.051756911497717994,-0.048897942042912645,-0.048897942042912645,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.043861500205073845,-0.03399065444502336,-0.043861500205073845,-0.043861500205073845,-0.04547434656817573,-0.039681341379841806,-0.04547434656817573,-0.04547434656817573,-0.04849228768779623,-0.046081307011111794,-0.04849228768779623,-0.04849228768779623,-0.060052836683270105,-0.028345331090255388,-0.11492635029315423,-0.041461269470341566,-0.059481732797880715,-0.016654962077130797,-0.028345331090255388,-0.049324628797820846,-0.06111619985947714,-0.019245295015771213,-0.016039608690823437,-0.05280170091630998,-0.0560248686494198,-0.019331303055380777,-0.018000701213636172,-0.04958291774954471,-0.060052836683270105,-0.060164656920672854,-0.060052836683270105,-0.060052836683270105,-0.04338725979800262,-0.03932871859495646,-0.04338725979800262,-0.04338725979800262,-0.049109432504103157,-0.04622689197534002,-0.049109432504103157,-0.049109432504103157,-0.04944186126180006,-0.04991016882783894,-0.04944186126180006,-0.04944186126180006,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.060052836683270105,-0.045324025842660265,-0.039140789335003645,-0.045324025842660265,-0.045324025842660265,-0.04678509405932685,-0.04546587144916625,-0.04678509405932685,-0.04678509405932685,-0.04150089573688687,-0.04173941443013174,-0.04150089573688687,-0.04150089573688687
2022-02-01,-0.06667951579464959,-0.06667951579464959,-0.06667951579464959,-0.06667951579464959,-0.07924046057560064,-0.053618243404338184,-0.07924046057560064,-0.07924046057560064,-0.06992358526717846,-0.04783762140723091,-0.06992358526717846,-0.06992358526717846,-0.06876403991665259,-0.046864978221470954,-0.06876403991665259,-0.06876403991665259,-0.0666795157946497,-0.0666795157946497,-0.0666795157946497,-0.0666795157946497,-0.05941238840047658,-0.05432804387865242,-0.05941238840047658,-0.05941238840047658,-0.06970289370071647,-0.05512074578180748,-0.06970289370071647,-0.06970289370071647,-0.06858706918951485,-0.051756911497717994,-0.06858706918951485,-0.06858706918951485,-0.0666795157946497,-0.0666795157946497,-0.0666795157946497,-0.0666795157946497,-0.0790367161253166,-0.03399065444502336,-0.0790367161253166,-0.0790367161253166,-0.07087200809371397,-0.039681341379841695,-0.07087200809371397,-0.07087200809371397,-0.06985140311683291,-0.04608130701111168,-0.06985140311683291,-0.06985140311683291,-0.0666795157946497,-0.026852884734802185,-0.10603992055169298,-0.041461269470341566,-0.06643769764584695,-0.016654962077130797,-0.026852884734802185,-0.04932462879782096,-0.07174388741351245,-0.019245295015771213,-0.016039608690823437,-0.05428367705208759,-0.05982623814161747,-0.019331303055380777,-0.018000701213636172,-0.04958291774954482,-0.06667951579464959,-0.06671966403997365,-0.06667951579464959,-0.06667951579464959,-0.0799167946745779,-0.06782935956515523,-0.0799167946745779,-0.0799167946745779,-0.06990230471802417,-0.052083884035277084,-0.06990230471802417,-0.06990230471802417,-0.06847288983834687,-0.0502255232542137,-0.06847288983834687,-0.06847288983834687,-0.0666795157946497,-0.0666795157946497,-0.0666795157946497,-0.0666795157946497,-0.07859798471434098,-0.039140789335003756,-0.07859798471434098,-0.07859798471434098,-0.07043964442378092,-0.04546587144916625,-0.07043964442378092,-0.07043964442378092,-0.06947160665971086,-0.04322089014085462,-0.06947160665971086,-0.06947160665971086
2022-03-01,-0.1122018114723673,-0.1122018114723673,-0.1122018114723673,-0.1122018114723673,-0.11635713151881966,-0.07173866904721848,-0.11635713151881966,-0.11635713151881966,-0.10722917568022317,-0.06585579547825549,-0.10722917568022317,-0.10722917568022317,-0.09967677304469724,-0.06722849447987023,-0.09967677304469724,-0.09967677304469724,-0.11220181147236707,-0.11220181147236707,-0.11220181147236707,-0.11220181147236707,-0.09675291018926391,-0.05432804387865242,-0.09675291018926391,-0.09675291018926391,-0.09842975031788259,-0.05867776306880035,-0.09842975031788259,-0.09842975031788259,-0.09372753476273632,-0.06421299700858174,-0.09372753476273632,-0.09372753476273632,-0.11220181147236707,-0.11220181147236707,-0.11220181147236707,-0.11220181147236707,-0.12060137804600612,-0.07083006423948568,-0.12060137804600612,-0.12060137804600612,-0.10873263045762849,-0.06738186810739788,-0.10873263045762849,-0.10873263045762849,-0.10265388197064296,-0.053842721230844104,-0.10265388197064296,-0.10265388197064296,-0.11220181147236707,-0.022699714631627566,-0.10603992055169298,-0.06249586019264641,-0.10040836642412876,-0.016654962077130797,-0.022699714631627566,-0.06966912357069865,-0.10133284637862383,-0.019245295015771213,-0.016039608690823437,-0.07392592032093537,-0.09101816191966272,-0.019331303055380777,-0.018000701213636172,-0.06858441786560154,-0.1122018114723673,-0.11224000150470281,-0.1122018114723673,-0.1122018114723673,-0.12111694001808615,-0.10197939896511643,-0.12111694001808615,-0.12111694001808615,-0.10329118468027054,-0.07822192732844047,-0.10329118468027054,-0.10329118468027054,-0.09606461783063358,-0.07130681904005964,-0.09606461783063358,-0.09606461783063358,-0.11220181147236707,-0.11220181147236707,-0.11220181147236707,-0.11220181147236707,-0.12034939328598371,-0.0763245485125702,-0.12034939328598371,-0.12034939328598371,-0.10296276866395171,-0.06375765131165123,-0.10296276866395171,-0.10296276866395171,-0.1009129499868684,-0.059088820150314136,-0.1009129499868684,-0.1009129499868684
2022-04-01,-0.11220181147236719,-0.11220181147236719,-0.11220181147236719,-0.11220181147236719,-0.11635713151881966,-0.07173866904721826,-0.11635713151881966,-0.11635713151881966,-0.10722917568022317,-0.06585579547825537,-0.10722917568022317,-0.10722917568022317,-0.09967677304469735,-0.06722849447987034,-0.09967677304469735,-0.09967677304469735,-0.11220181147236719,-0.11220181147236719,-0.11220181147236719,-0.11220181147236719,-0.09675291018926402,-0.05176644666502572,-0.09675291018926402,-0.09675291018926402,-0.09842975031788259,-0.05867776306880035,-0.09842975031788259,-0.09842975031788259,-0.09372753476273643,-0.06421299700858174,-0.09372753476273643,-0.09372753476273643,-0.11220181147236719,-0.11220181147236719,-0.11220181147236719,-0.11220181147236719,-0.12060137804600624,-0.07083006423948568,-0.12060137804600624,-0.12060137804600624,-0.1087326304576286,-0.06738186810739788,-0.1087326304576286,-0.1087326304576286,-0.10265388197064296,-0.053842721230844104,-0.10265388197064296,-0.10265388197064296,-0.11220181147236719,-0.022699714631627566,-0.10603992055169309,-0.06249586019264641,-0.10040836642412876,-0.02102018578169884,-0.022699714631627566,-0.06966912357069888,-0.10133284637862361,-0.014301987996015009,-0.02103280082022707,-0.07392592032093526,-0.09101816191966261,-0.011215577050919356,-0.01374308829048887,-0.06858441786560154,-0.1122018114723673,-0.11224000150470281,-0.1122018114723673,-0.1122018114723673,-0.12111694001808615,-0.10197939896511643,-0.12111694001808615,-0.12111694001808615,-0.10329118468027065,-0.07822192732844035,-0.10329118468027065,-0.10329118468027065,-0.09606461783063358,-0.07130681904005975,-0.09606461783063358,-0.09606461783063358,-0.11220181147236719,-0.11220181147236719,-0.11220181147236719,-0.11220181147236719,-0.1203493932859836,-0.0763245485125702,-0.1203493932859836,-0.1203493932859836,-0.10296276866395171,-0.06375765131165112,-0.10296276866395171,-0.10296276866395171,-0.1009129499868684,-0.059088820150314136,-0.1009129499868684,-0.1009129499868684
