Date,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
1993-01-01,24.113258361816406,,,,,,,,,
1993-02-01,24.370525360107422,,,,,,,,,
1993-03-01,24.916385650634766,,,,,,,,,
1993-04-01,24.27884292602539,,,,,,,,,
1993-05-01,24.93364143371582,,,,,,,,,
1993-06-01,25.0235652923584,,,,,,,,,
1993-07-01,24.902097702026367,,,,,,,,,
1993-08-01,25.856517791748047,,,,,,,,,
1993-09-01,25.668399810791016,,,,,,,,,
1993-10-01,26.17479133605957,,,,,,,,,
1993-11-01,25.895402908325195,,,,,,,,,
1993-12-01,26.213314056396484,,,,,,,,,
1994-01-01,27.127532958984375,,,,,,,,,
1994-02-01,26.336387634277344,,,,,,,,,
1994-03-01,25.232852935791016,,,,,,,,,
1994-04-01,25.515775680541992,,,,,,,,,
1994-05-01,25.922470092773438,,,,,,,,,
1994-06-01,25.3284912109375,,,,,,,,,
1994-07-01,26.147254943847656,,,,,,,,,
1994-08-01,27.14401626586914,,,,,,,,,
1994-09-01,26.458484649658203,,,,,,,,,
1994-10-01,27.210613250732422,,,,,,,,,
1994-11-01,26.127225875854492,,,,,,,,,
1994-12-01,26.31747055053711,,,,,,,,,
1995-01-01,27.20195198059082,,,,,,,,,
1995-02-01,28.31203842163086,,,,,,,,,
1995-03-01,29.100486755371094,,,,,,,,,
1995-04-01,29.962505340576172,,,,,,,,,
1995-05-01,31.151214599609375,,,,,,,,,
1995-06-01,31.781381607055664,,,,,,,,,
1995-07-01,32.803646087646484,,,,,,,,,
1995-08-01,32.94970703125,,,,,,,,,
1995-09-01,34.3459587097168,,,,,,,,,
1995-10-01,34.24502944946289,,,,,,,,,
1995-11-01,35.76826477050781,,,,,,,,,
1995-12-01,36.33100509643555,,,,,,,,,
1996-01-01,37.62358474731445,,,,,,,,,
1996-02-01,37.743621826171875,,,,,,,,,
1996-03-01,38.39350128173828,,,,,,,,,
1996-04-01,38.810791015625,,,,,,,,,
1996-05-01,39.69184494018555,,,,,,,,,
1996-06-01,40.04198455810547,,,,,,,,,
1996-07-01,38.242652893066406,,,,,,,,,
1996-08-01,38.97917556762695,,,,,,,,,
1996-09-01,41.157020568847656,,,,,,,,,
1996-10-01,42.48769760131836,,,,,,,,,
1996-11-01,45.5894660949707,,,,,,,,,
1996-12-01,44.504554748535156,,,,,,,,,
1997-01-01,47.254310607910156,,,,,,,,,
1997-02-01,47.70631408691406,,,,,,,,,
1997-03-01,45.60139083862305,,,,,,,,,
1997-04-01,48.45619201660156,,,,,,,,,
1997-05-01,51.51898193359375,,,,,,,,,
1997-06-01,53.636505126953125,,,,,,,,,
1997-07-01,57.88795471191406,,,,,,,,,
1997-08-01,54.8891716003418,,,,,,,,,
1997-09-01,57.52882385253906,,,,,,,,,
1997-10-01,56.11915969848633,,,,,,,,,
1997-11-01,58.29079818725586,,,,,,,,,
1997-12-01,59.40251922607422,,,,,,,,,
1998-01-01,60.167484283447266,,,,,,,,,
1998-02-01,64.3367691040039,,,,,,,,,
1998-03-01,67.47533416748047,,,,,,,,,
1998-04-01,68.33843994140625,,,,,,,,,
1998-05-01,66.91913604736328,,,,,,,,,
1998-06-01,69.76812744140625,,,,,,,,,
1998-07-01,68.82530212402344,,,,,,,,,
1998-08-01,59.108558654785156,,,,,,,,,
1998-09-01,62.87018966674805,,,,,,,,,
1998-10-01,67.96774291992188,,,,,,,,,
1998-11-01,71.75238037109375,,,,,,,,,
1998-12-01,76.44651794433594,5.995896339416504,5.7146806716918945,11.184135437011719,15.188970565795898,12.123939514160156,14.233619689941406,5.8742265701293945,17.363088607788086,9.601983070373535
1999-01-01,79.139404296875,5.773669719696045,5.33981990814209,11.377996444702148,15.024717330932617,14.051703453063965,14.045251846313477,5.728509902954102,18.197847366333008,10.095863342285156
1999-02-01,76.60150146484375,5.863409996032715,5.293920993804932,11.556937217712402,15.159993171691895,12.658150672912598,13.89784049987793,5.570652961730957,18.218717575073242,10.032695770263672
