sasdate,PC1,PC2,PC3,PC4,PC5,PC6,regime,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3,regime_prob_4,regime_prob_5
1959-03-01,0.5065471781090876,0.15385368507459904,8.855825780113197,0.16910138373121503,-0.8542594577457129,-1.8863792727604853,0,1.0,0.0,0.0,0.0,0.0,0.0
1959-04-01,0.4712540938580425,0.12585672314666463,9.10564857689081,0.16321248405626815,-0.9268249640510674,-2.1140681381095336,0,1.0,0.0,0.0,0.0,0.0,0.0
1959-05-01,0.2736819624864572,0.02212799281661035,8.183699984524411,0.06914922130054593,-0.387802279710513,-0.6054229481692244,0,1.0,0.0,0.0,0.0,0.0,0.0
1959-06-01,0.17181968634122216,-0.008784850583872933,7.62840953562078,0.02102441171633575,0.11184019890223246,0.513155751219892,0,1.0,0.0,0.0,0.0,0.0,0.0
1959-07-01,-0.09162350028181725,0.16108181599430044,7.283731241314901,-0.2048701710049062,1.5087195438108292,3.5691441396045307,0,1.0,0.0,0.0,0.0,0.0,0.0
1959-08-01,-0.7979369465180475,1.0981174240265135,9.040066620237745,-0.7976363809663249,7.015008175844986,14.380508567780902,0,1.0,0.0,0.0,0.0,0.0,0.0
1959-09-01,0.05102044372397775,0.022034638065508247,7.827146918079078,-0.10628438365932667,0.587250665442093,1.7380888990628056,0,1.0,0.0,0.0,0.0,0.0,0.0
1959-10-01,-0.04635738499374931,0.07556460118106895,6.975249893278124,-0.2268916335444276,1.641208597976885,3.298929214293093,0,1.0,0.0,0.0,0.0,0.0,0.0
1959-11-01,0.10174692966096703,0.045200944218037456,7.791505931704565,-0.004453184562999871,-0.13957632026530387,-0.433333455029516,0,1.0,0.0,0.0,0.0,0.0,0.0
1959-12-01,2.885446746007606,1.3926748985210862,15.718584830037626,0.48452011969526504,-3.9099506807944095,-10.43639577193103,0,1.0,0.0,0.0,0.0,0.0,0.0
1960-01-01,0.295145008899774,-0.017227155863881898,0.03656189636154291,0.002835881734901936,-0.4472392286686729,-0.13783960749874863,1,0.893300248138958,0.06037994595707713,0.00716247201810719,0.012275037346215168,0.0035187790168429655,0.023363517522799634
1960-02-01,-0.026311982575639072,-0.13791022885858667,-0.053839004229085226,-0.008829495065057385,-0.07932004090466128,0.0020924914565427313,5,0.0,0.10417074156077666,0.046952542589216585,0.1750922915045148,0.011808962293966089,0.6619754620515259
1960-03-01,-0.33696795069387747,0.3329015806985913,-0.023986522176645327,-0.23735347593229006,1.3920395303412674,-0.03413030777673109,0,0.9842845326716296,0.001298584230126625,0.0029578631747224473,0.0022902115330646258,0.0075499874496637595,0.0016188209407929119
1960-04-01,0.13115031740780508,-0.1039029853453519,-0.04179368428697923,0.16124008974034687,-0.2187267000851438,0.019751616549157046,1,0.7526881720430109,0.12152548851147259,0.012979744874621883,0.02565086520968193,0.004522558133261217,0.08263317122795151
1960-05-01,-0.09554687791959303,-0.08765909465915425,-0.07134859776767256,-0.09597173612494697,0.14786772208857535,0.1890511237995951,2,0.482492417976289,0.021775913573380115,0.3308759042203985,0.09379327851518302,0.014510548022110728,0.05655193769263863
1960-06-01,-0.2045957927339929,0.11212656226264622,-0.09452643977454685,-0.15525807678816986,0.823491377897964,-0.02966680773413125,4,0.8519437551695619,0.0036171274539496083,0.013585363836417931,0.009284590246626805,0.11646125051915705,0.00510791277428684
1960-07-01,-0.13160641175048712,-0.007634168320253633,-0.07759410856631102,-0.0873933963167951,0.3851203311628706,0.10904318707003606,2,0.6368899917287014,0.012011421842313066,0.23904745169085032,0.05633582755798583,0.03337306473174019,0.022342242448409197
1960-08-01,-0.07481779520447554,-0.107075487639325,-0.07958140103612031,-0.07836358404284395,0.1535449530445024,0.039616341519285975,3,0.22608216156603247,0.03310230337323209,0.16178474293199135,0.46847059302754357,0.022608778745620704,0.08795142035557985
1960-09-01,-0.09010388216275489,-0.078523756964369,-0.049406916973064735,-0.07819771956928825,0.18258069625205156,0.2840444176598452,2,0.5734767025089608,0.014321282542949447,0.3267466669319438,0.04239883738230915,0.010864686480645357,0.032191824153191655
1960-10-01,-0.08145237875150418,-0.10021588373812924,-0.06350633719963746,-0.10210584327691798,0.30835071494654526,0.23755293240505568,2,0.6231044940722361,0.010549032913179811,0.29085904307048094,0.03985801578048445,0.014363486648559963,0.021265927515058892
1960-11-01,-0.23401852864393646,0.16781467633823588,0.007291819365045475,-0.13133006070641662,0.4613630808542971,0.45942139839932095,2,0.9153570443893027,0.005782494833596633,0.04625577469723546,0.011818034845594254,0.011767819258128245,0.009018831976142873
1960-12-01,-0.5087689704120161,0.5772808371978505,0.020460494753610357,-0.187087797677225,0.7602000038634092,0.5836178270259906,0,1.0,0.0,0.0,0.0,0.0,0.0
1961-01-01,-0.041103027716252336,-0.1238779431027729,-0.03839172271446084,-0.06315416238939,0.12823645591038527,0.25324423538160773,2,0.5321202095395644,0.03222556621367197,0.24571887030488465,0.09248386257275813,0.017309312432971194,0.08014217893614965
1961-02-01,-0.10896818699335545,-0.04848938840652238,-0.07850135963390276,-0.08052829610941019,0.16190337998651352,0.2519962918139579,2,0.5569341053212022,0.011596748633132392,0.35741015562303113,0.03803270949712174,0.0084820205167379,0.027544260408774585
1961-03-01,0.08342031684241277,-0.12582499806114392,-0.0036219123728929072,0.017688566225141998,-0.2643402765796975,-0.004661354477606802,1,0.24538185828508408,0.48412698204917937,0.019173844067474924,0.04070334966109388,0.006490765469290002,0.2041232004678778
1961-04-01,0.06513535200213173,-0.14181372013765164,-0.011460475410925356,-0.02403897115654642,-0.22484437706178687,0.0248794219412458,5,0.0,0.39011483564788196,0.03299314540805395,0.07204403713025254,0.010121588425428383,0.4947263933883832
1961-05-01,0.19955215270883664,-0.07257921604246247,0.06404113211144717,0.07184070940110585,-0.3833948150362153,-0.12694130082865426,1,0.8464295561069756,0.09856160492938873,0.00753342865041808,0.013938426941092721,0.003453300759554299,0.030083682612570613
1961-06-01,0.17554352627022773,-0.09635903376964843,0.07273393071472785,0.16644243396050715,-0.455504223525735,-0.1328885868769284,1,0.9236283429831817,0.04690268579470008,0.004330407061878494,0.0074957791770080525,0.00207423079257914,0.01556855419065249
1961-07-01,0.045910508310273664,-0.14908815362363403,-0.0469451236229032,-0.020987841745212253,-0.22676330444316609,0.09712068939580062,5,0.0,0.24944302699758808,0.031998403287027286,0.06040847181056095,0.008748771109224944,0.6494013267955988
