date,naive_lo_l1,naive_lns_l1,naive_los_l1,naive_mx_l1,naive_lo_l2,naive_lns_l2,naive_los_l2,naive_mx_l2,naive_lo_l3,naive_lns_l3,naive_los_l3,naive_mx_l3,naive_lo_l4,naive_lns_l4,naive_los_l4,naive_mx_l4,naive_lo_l5,naive_lns_l5,naive_los_l5,naive_mx_l5,naive_lo_l6,naive_lns_l6,naive_los_l6,naive_mx_l6,naive_lo_l7,naive_lns_l7,naive_los_l7,naive_mx_l7,naive_lo_l8,naive_lns_l8,naive_los_l8,naive_mx_l8,naive_lo_l9,naive_lns_l9,naive_los_l9,naive_mx_l9,naive_lo_l10,naive_lns_l10,naive_los_l10,naive_mx_l10,naive_random_lo_l1,naive_random_lns_l1,naive_random_los_l1,naive_random_mx_l1,naive_random_lo_l2,naive_random_lns_l2,naive_random_los_l2,naive_random_mx_l2,naive_random_lo_l3,naive_random_lns_l3,naive_random_los_l3,naive_random_mx_l3,naive_random_lo_l4,naive_random_lns_l4,naive_random_los_l4,naive_random_mx_l4,naive_random_lo_l5,naive_random_lns_l5,naive_random_los_l5,naive_random_mx_l5,naive_random_lo_l6,naive_random_lns_l6,naive_random_los_l6,naive_random_mx_l6,naive_random_lo_l7,naive_random_lns_l7,naive_random_los_l7,naive_random_mx_l7,naive_random_lo_l8,naive_random_lns_l8,naive_random_los_l8,naive_random_mx_l8,naive_random_lo_l9,naive_random_lns_l9,naive_random_los_l9,naive_random_mx_l9,naive_random_lo_l10,naive_random_lns_l10,naive_random_los_l10,naive_random_mx_l10,mvo_lo_l1,mvo_lns_l1,mvo_los_l1,mvo_mx_l1,mvo_lo_l2,mvo_lns_l2,mvo_los_l2,mvo_mx_l2,mvo_lo_l3,mvo_lns_l3,mvo_los_l3,mvo_mx_l3,mvo_lo_l4,mvo_lns_l4,mvo_los_l4,mvo_mx_l4,mvo_lo_l5,mvo_lns_l5,mvo_los_l5,mvo_mx_l5,mvo_lo_l6,mvo_lns_l6,mvo_los_l6,mvo_mx_l6,mvo_lo_l7,mvo_lns_l7,mvo_los_l7,mvo_mx_l7,mvo_lo_l8,mvo_lns_l8,mvo_los_l8,mvo_mx_l8,mvo_lo_l9,mvo_lns_l9,mvo_los_l9,mvo_mx_l9,mvo_lo_l10,mvo_lns_l10,mvo_los_l10,mvo_mx_l10,ridge_lo_l1,ridge_lns_l1,ridge_los_l1,ridge_mx_l1,ridge_lo_l2,ridge_lns_l2,ridge_los_l2,ridge_mx_l2,ridge_lo_l3,ridge_lns_l3,ridge_los_l3,ridge_mx_l3,ridge_lo_l4,ridge_lns_l4,ridge_los_l4,ridge_mx_l4,ridge_lo_l5,ridge_lns_l5,ridge_los_l5,ridge_mx_l5,ridge_lo_l6,ridge_lns_l6,ridge_los_l6,ridge_mx_l6,ridge_lo_l7,ridge_lns_l7,ridge_los_l7,ridge_mx_l7,ridge_lo_l8,ridge_lns_l8,ridge_los_l8,ridge_mx_l8,ridge_lo_l9,ridge_lns_l9,ridge_los_l9,ridge_mx_l9,ridge_lo_l10,ridge_lns_l10,ridge_los_l10,ridge_mx_l10,ridge_random_lo_l1,ridge_random_lns_l1,ridge_random_los_l1,ridge_random_mx_l1,ridge_random_lo_l2,ridge_random_lns_l2,ridge_random_los_l2,ridge_random_mx_l2,ridge_random_lo_l3,ridge_random_lns_l3,ridge_random_los_l3,ridge_random_mx_l3,ridge_random_lo_l4,ridge_random_lns_l4,ridge_random_los_l4,ridge_random_mx_l4,ridge_random_lo_l5,ridge_random_lns_l5,ridge_random_los_l5,ridge_random_mx_l5,ridge_random_lo_l6,ridge_random_lns_l6,ridge_random_los_l6,ridge_random_mx_l6,ridge_random_lo_l7,ridge_random_lns_l7,ridge_random_los_l7,ridge_random_mx_l7,ridge_random_lo_l8,ridge_random_lns_l8,ridge_random_los_l8,ridge_random_mx_l8,ridge_random_lo_l9,ridge_random_lns_l9,ridge_random_los_l9,ridge_random_mx_l9,ridge_random_lo_l10,ridge_random_lns_l10,ridge_random_los_l10,ridge_random_mx_l10
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,-0.07558730327565433,0.0,0.0,-0.0314048913070788,-0.059653779317845546,0.0,0.0,-0.025578803954192875,-0.059653779317845546,0.0,0.0,-0.026004339542518462,-0.059653779317845546,0.0,0.0,-0.027785289914824207,-0.059653779317845546,0.0,0.0,-0.027281934662454987,-0.059653779317845546,0.0,0.0,-0.027527067656862747,-0.059653779317845546,0.0,0.0,-0.0289135654072884,-0.059653779317845546,0.0,0.0,-0.028938871800222365,-0.059653779317845546,0.0,0.0,-0.02931352341705884,-0.059653779317845546,0.0,0.0,-0.029486795217049555,-0.048281047089490325,0.0,0.0,-0.03441220759682451,-0.05189724069162449,0.0,0.0,-0.03820309104500608,-0.05200943592289087,0.0,0.0,-0.03635115783725429,-0.051131063775910146,0.0,0.0,-0.03586430632230331,-0.051131063775910146,0.0,0.0,-0.037030056230234476,-0.051131063775910146,0.0,0.0,-0.036762891004313625,-0.051131063775910146,0.0,0.0,-0.036064058025801704,-0.051131063775910146,0.0,0.0,-0.035972888138167236,-0.051131063775910146,0.0,0.0,-0.03624486896057055,-0.051131063775910146,0.0,0.0,-0.03654883074790549,-0.026100892044685353,0.0,0.0,-0.011241794616904888,-0.03411420650341612,0.0,0.0,-0.017104515626037764,-0.029795306796028376,0.0,0.0,-0.017308024683816092,-0.025350444452084564,0.0,0.0,-0.015244152927189947,-0.031008986828544693,0.0,0.0,-0.019356919390206895,-0.03103397391851004,0.0,0.0,-0.020697165010778118,-0.03103397391851004,0.0,0.0,-0.019908922997736278,-0.03103397391851004,0.0,0.0,-0.019389246640045488,-0.03103397391851004,0.0,0.0,-0.01943824316089171,-0.03103397391851004,0.0,0.0,-0.019394780877319162,-0.03365987092798839,0.0,0.0,-0.03460628097975593,-0.03365987092798839,0.0,0.0,-0.03359929835636288,-0.03365987092798839,0.0,0.0,-0.033278517410099795,-0.03365987092798839,0.0,0.0,-0.033599677369310244,-0.03365987092798839,0.0,0.0,-0.0341106161144874,-0.03365987092798839,0.0,0.0,-0.031868931708718296,-0.03365987092798839,0.0,0.0,-0.03225080231623112,-0.03365987092798839,0.0,0.0,-0.032266966356727544,-0.03365987092798839,0.0,0.0,-0.03245032195947062,-0.03365987092798839,0.0,0.0,-0.03221081039454665,-0.0405559795292999,0.0,0.0,-0.05678413476043698,-0.0405559795292999,0.0,0.0,-0.0542497068562785,-0.0405559795292999,0.0,0.0,-0.05500175671134366,-0.0405559795292999,0.0,0.0,-0.05659372400598295,-0.0405559795292999,0.0,0.0,-0.05655007339725171,-0.0405559795292999,0.0,0.0,-0.057123141908135944,-0.0405559795292999,0.0,0.0,-0.05672758920924692,-0.0405559795292999,0.0,0.0,-0.057216578085801384,-0.0405559795292999,0.0,0.0,-0.057002745706516644,-0.0405559795292999,0.0,0.0,-0.05700593234799356
2003-06-01,-0.02652515947424272,0.0,0.0,-0.0017566502465640177,-0.024693834344253984,0.0,0.0,-0.006605531135576714,-0.024693834344253984,0.0,0.0,-0.0070053045459875785,-0.024693834344253984,0.0,0.0,-0.009493638246173441,-0.024693834344253984,0.0,0.0,-0.00983473062736051,-0.024693834344253984,0.0,0.0,-0.010140530124568503,-0.024693834344253984,0.0,0.0,-0.010555418643201198,-0.024693834344253984,0.0,0.0,-0.010491397040333972,-0.024693834344253984,0.0,0.0,-0.010714057688980483,-0.024693834344253984,0.0,0.0,-0.010890586594593854,-0.0232980130931284,0.0,0.0,-0.02329090869967032,-0.02700913334080557,0.0,0.0,-0.027002154720626392,-0.02712427374540105,0.0,0.0,-0.02711527254123902,-0.026222843949791685,0.0,0.0,-0.026214259444389154,-0.026222843949791685,0.0,0.0,-0.026215457802407083,-0.026222843949791685,0.0,0.0,-0.02621518290827718,-0.026222843949791685,0.0,0.0,-0.026214464578039554,-0.026222843949791685,0.0,0.0,-0.02621437094121537,-0.026222843949791685,0.0,0.0,-0.026214650333806433,-0.026222843949791685,0.0,0.0,-0.026214815109962153,-0.0222980130931284,0.0,0.0,-0.011241794616904888,-0.026266106085435004,0.0,0.0,-0.016364125805134355,-0.0176752974196015,0.0,0.0,-0.012209342813872426,-0.01131602324866876,0.0,0.0,-0.007650581556386871,-0.012879192086630242,0.0,0.0,-0.008184851130368265,-0.012788527830050134,0.0,0.0,-0.008559332716823631,-0.012788527830050134,0.0,0.0,-0.007994344989279867,-0.012788527830050134,0.0,0.0,-0.007878291845141883,-0.012788527830050134,0.0,0.0,-0.007890097747803138,-0.012788527830050134,0.0,0.0,-0.007851268107849974,-0.008511960920755457,0.0,0.0,-0.0252814639849972,-0.008511960920755457,0.0,0.0,-0.024829120063929233,-0.008511960920755457,0.0,0.0,-0.025424325818659166,-0.008511960920755457,0.0,0.0,-0.026242382413498522,-0.008511960920755457,0.0,0.0,-0.02743957114849027,-0.008511960920755457,0.0,0.0,-0.025927530380039365,-0.008511960920755457,0.0,0.0,-0.02615274137753787,-0.008511960920755457,0.0,0.0,-0.02614098924742314,-0.008511960920755457,0.0,0.0,-0.026192761418477595,-0.008511960920755457,0.0,0.0,-0.026027299294215434,-0.0405559795292999,0.0,0.0,-0.05678413476043709,-0.0405559795292999,0.0,0.0,-0.0542497068562785,-0.0405559795292999,0.0,0.0,-0.05500175671134355,-0.0405559795292999,0.0,0.0,-0.05659372400598295,-0.0405559795292999,0.0,0.0,-0.0565500733972516,-0.0405559795292999,0.0,0.0,-0.05712314190813583,-0.0405559795292999,0.0,0.0,-0.05672758920924692,-0.0405559795292999,0.0,0.0,-0.057216578085801495,-0.0405559795292999,0.0,0.0,-0.057002745706516644,-0.0405559795292999,0.0,0.0,-0.05700593234799345
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015889346935109572,0.0,0.0,0.0,-0.0014353790916192821,0.0,0.0,0.0,-0.0016365649668709237,0.0,0.0,0.0,-0.0019198200687650102,0.0,0.0,0.0,-0.001795364790061038,0.0,0.0,0.0,-0.0016347037946543574,0.0,0.0,0.0,-0.0018245939269903033,0.0,0.0,0.0,-0.0018341165558924954,0.0,0.0,0.0,-0.001845117505960503,0.0,0.0,0.0,-0.0024529869755647304,0.0,0.0,0.0,-0.00020414727810835753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008511960920755457,0.0,0.0,-0.0252814639849972,-0.008511960920755457,0.0,0.0,-0.024829120063929233,-0.008511960920755457,0.0,0.0,-0.025424325818659277,-0.008511960920755457,0.0,0.0,-0.026242382413498522,-0.008511960920755457,0.0,0.0,-0.02743957114849027,-0.008511960920755457,0.0,0.0,-0.025927530380039476,-0.008511960920755457,0.0,0.0,-0.026152741377537758,-0.008511960920755457,0.0,0.0,-0.02614098924742314,-0.008511960920755457,0.0,0.0,-0.026192761418477484,-0.008511960920755457,0.0,0.0,-0.026027299294215545,-0.009507454940295035,0.0,0.0,-0.027416398099765926,-0.009507454940295035,0.0,0.0,-0.02350472004004167,-0.009507454940295035,0.0,0.0,-0.024282162919118888,-0.009507454940295035,0.0,0.0,-0.025925716415480138,-0.009507454940295035,0.0,0.0,-0.025880771759818844,-0.009507454940295035,0.0,0.0,-0.02647291306161914,-0.009507454940295035,0.0,0.0,-0.02606408158058038,-0.009507454940295035,0.0,0.0,-0.026568788970973256,-0.009507454940295035,0.0,0.0,-0.02634806073103335,-0.009507454940295035,0.0,0.0,-0.026351345512866664
2003-08-01,-0.016001993050617225,0.0,0.0,-0.01600574067801719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036342991156038784,0.0,0.0,-0.03174089658119339,-0.029141761375428787,0.0,0.0,-0.028643813988986633,-0.02026743106739748,0.0,0.0,-0.020750872307412127,-0.00846872734659454,0.0,0.0,-0.01028960974138926,-0.01079307934437268,0.0,0.0,-0.01268516049267987,-0.009457797112523703,0.0,0.0,-0.010744821259516923,-0.009457797112523703,0.0,0.0,-0.010745411906117663,-0.009457797112523703,0.0,0.0,-0.011078149393448422,-0.009457797112523703,0.0,0.0,-0.011008090524314618,-0.009457797112523703,0.0,0.0,-0.011024819830491972,-0.016001993050617447,0.0,0.0,-0.018911287204566807,0.0,0.0,0.0,-0.00020414727810835753,0.0,0.0,0.0,-0.0006907706573240358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036325069660460674,0.0,0.0,-0.05468929302211456,-0.027060128910898595,0.0,0.0,-0.046958971033980945,-0.008511960920755457,0.0,0.0,-0.024712801884670288,-0.008511960920755457,0.0,0.0,-0.02531234000599414,-0.008511960920755457,0.0,0.0,-0.025953772055776425,-0.008511960920755457,0.0,0.0,-0.024661414077721044,-0.008511960920755457,0.0,0.0,-0.02515074924146543,-0.008511960920755457,0.0,0.0,-0.025146619840109352,-0.008511960920755457,0.0,0.0,-0.02492177212869673,-0.008511960920755457,0.0,0.0,-0.024769338393571982,-0.03632506966046056,0.0,0.0,-0.04747127120890271,-0.030301336176952853,0.0,0.0,-0.04026367842909062,-0.009011960920755513,0.0,0.0,-0.023620080509664132,-0.009011960920755513,0.0,0.0,-0.025052616265479388,-0.009011960920755513,0.0,0.0,-0.02517245494294229,-0.009011960920755513,0.0,0.0,-0.025776572486609917,-0.009011960920755513,0.0,0.0,-0.025324505763666738,-0.009011960920755513,0.0,0.0,-0.025482114455464444,-0.009011960920755513,0.0,0.0,-0.025214166820644035,-0.009011960920755513,0.0,0.0,-0.02522258739047567
2003-09-01,-0.016001993050617225,0.0,0.0,-0.01600574067801719,0.0,0.0,0.0,0.0,-0.004280381386079668,0.0,0.0,-0.003417545674295086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036342991156038784,0.0,0.0,-0.0317408965811935,-0.029141761375428676,0.0,0.0,-0.028643813988986855,-0.02026743106739748,0.0,0.0,-0.020750872307412238,-0.008468727346594651,0.0,0.0,-0.010289609741389372,-0.01079307934437257,0.0,0.0,-0.012685160492679981,-0.009457797112523814,0.0,0.0,-0.010744821259516701,-0.009457797112523814,0.0,0.0,-0.010745411906117663,-0.009457797112523814,0.0,0.0,-0.011078149393448533,-0.009457797112523814,0.0,0.0,-0.011008090524314618,-0.009457797112523814,0.0,0.0,-0.011024819830492083,-0.028508056606425303,0.0,0.0,-0.033100491655853825,-0.023377756411895434,0.0,0.0,-0.02226893131653984,-0.015542912678485399,0.0,0.0,-0.017611272954681456,-0.005722840277392005,0.0,0.0,-0.00921642032365344,-0.00012463902172665797,0.0,0.0,-0.004107734881066971,0.0,0.0,0.0,-0.0015564995796362169,0.0,0.0,0.0,-0.0008500023324451433,0.0,0.0,0.0,-0.0009545704820338452,0.0,0.0,0.0,-0.0011860768579743386,0.0,0.0,0.0,-0.0009492941650866005,-0.04857283829500103,0.0,0.0,-0.05762217954158877,-0.027060128910898595,0.0,0.0,-0.035771307557934895,-0.0004999999999999449,0.0,0.0,-0.005644439712605864,-0.0004999999999999449,0.0,0.0,-0.004797505776171551,-0.0004999999999999449,0.0,0.0,-0.0049146390653419525,-0.0004999999999999449,0.0,0.0,-0.004022669986899818,-0.0004999999999999449,0.0,0.0,-0.0038702417326966776,-0.0004999999999999449,0.0,0.0,-0.004528263751458095,-0.0004999999999999449,0.0,0.0,-0.004511267597876456,-0.0004999999999999449,0.0,0.0,-0.004565494977782691,-0.03632506966046056,0.0,0.0,-0.033548509213843225,-0.030301336176952964,0.0,0.0,-0.0346593381737581,-0.007783638715068042,0.0,0.0,-0.014949507319793498,-0.00397426743422491,0.0,0.0,-0.011155887160837485,-0.007323003786579352,0.0,0.0,-0.013274967642782798,-0.0059516505006081966,0.0,0.0,-0.010485702719872814,-0.0059516505006081966,0.0,0.0,-0.010268248981488926,-0.0059516505006081966,0.0,0.0,-0.010675887679534424,-0.0059516505006081966,0.0,0.0,-0.010719537327494755,-0.0059516505006081966,0.0,0.0,-0.010641095087711716
2003-10-01,-0.04504331035028808,0.0,0.0,-0.04504331035028808,-0.034977709700061865,0.0,0.0,-0.0325550634645827,-0.026604452380235233,0.0,0.0,-0.025831946234738057,-0.028065652269183228,0.0,0.0,-0.025563197114176983,-0.023690986577775686,0.0,0.0,-0.023289298874679676,-0.024031225715315685,0.0,0.0,-0.022990573751561105,-0.024031225715315685,0.0,0.0,-0.022416383992484135,-0.024031225715315685,0.0,0.0,-0.02299842615830694,-0.024031225715315685,0.0,0.0,-0.023114178743660063,-0.024031225715315685,0.0,0.0,-0.022845167272409816,-0.036342991156038784,0.0,0.0,-0.0317408965811935,-0.029141761375428676,0.0,0.0,-0.034876514093654665,-0.027173351946471413,0.0,0.0,-0.03586667000190502,-0.02636662451854832,0.0,0.0,-0.025807099619668872,-0.023399121475971008,0.0,0.0,-0.026590252993501595,-0.023399121475971008,0.0,0.0,-0.02349299415536721,-0.023399121475971008,0.0,0.0,-0.02359207146061082,-0.023399121475971008,0.0,0.0,-0.02419417903305976,-0.023399121475971008,0.0,0.0,-0.023856179551445256,-0.023399121475971008,0.0,0.0,-0.023813768400656854,-0.02850805660642519,0.0,0.0,-0.033100491655853825,-0.025955756755306925,0.0,0.0,-0.02226893131653973,-0.030108901022343204,0.0,0.0,-0.027807241324346088,-0.019280615437864856,0.0,0.0,-0.01973685608528175,-0.011391656285414054,0.0,0.0,-0.013003405856629513,-0.01502067376179883,0.0,0.0,-0.01339998087686145,-0.01502067376179883,0.0,0.0,-0.013221451181039234,-0.01502067376179883,0.0,0.0,-0.013836906481528688,-0.01502067376179883,0.0,0.0,-0.01401388734757214,-0.01502067376179883,0.0,0.0,-0.013774753435292997,-0.0691430571120566,0.0,0.0,-0.0836664058455614,-0.05643952568271471,0.0,0.0,-0.06478904336544633,-0.02482316645762228,0.0,0.0,-0.023409562059671152,-0.026328067782492193,0.0,0.0,-0.024932832161159713,-0.026136780853095787,0.0,0.0,-0.02354661360818122,-0.026136780853095787,0.0,0.0,-0.024246460896460875,-0.026136780853095787,0.0,0.0,-0.02398631736326251,-0.026136780853095787,0.0,0.0,-0.023729446441891566,-0.026136780853095787,0.0,0.0,-0.023859748375836265,-0.026136780853095787,0.0,0.0,-0.023855451668878924,-0.036325069660460674,0.0,0.0,-0.033548509213843336,-0.036626132728873384,0.0,0.0,-0.046437545083221066,-0.0166284666403671,0.0,0.0,-0.028593283244909284,-0.02362162456678618,0.0,0.0,-0.030995415925823444,-0.022997955836086992,0.0,0.0,-0.03314113477134739,-0.022997955836086992,0.0,0.0,-0.030157110119443997,-0.022997955836086992,0.0,0.0,-0.030180233615416552,-0.022997955836086992,0.0,0.0,-0.03099255910452925,-0.022997955836086992,0.0,0.0,-0.03137965386009833,-0.022997955836086992,0.0,0.0,-0.03129811107722236
